stnid,lat,lon,elevation,name,wmo_id,element,first_year,last_year
ASN00001006,-15.51,128.1503,3.8,wyndham aero,95214,TMAX,2000,2023
ASN00001006,-15.51,128.1503,3.8,wyndham aero,95214,TMIN,2000,2023
ASN00001006,-15.51,128.1503,3.8,wyndham aero,95214,PRCP,1951,2023
ASN00001007,-13.7542,126.1485,6,troughton island,94102,TMAX,1957,2023
ASN00001007,-13.7542,126.1485,6,troughton island,94102,TMIN,1957,2023
ASN00001007,-13.7542,126.1485,6,troughton island,94102,PRCP,1956,2023
ASN00001010,-14.7883,126.4964,210,theda,NA,PRCP,1965,2023
ASN00001010,-14.7883,126.4964,210,theda,NA,DAPR,1970,2022
ASN00001010,-14.7883,126.4964,210,theda,NA,DWPR,1970,2022
ASN00001010,-14.7883,126.4964,210,theda,NA,MDPR,1970,2022
ASN00001013,-15.4872,128.1247,11,wyndham,94214,PRCP,1968,2020
ASN00001014,-15.9078,128.1289,130,emma gorge,NA,PRCP,1998,2023
ASN00001018,-16.4181,126.1025,546,mount elizabeth,94211,TMAX,1993,2022
ASN00001018,-16.4181,126.1025,546,mount elizabeth,94211,TMIN,1993,2022
ASN00001018,-16.4181,126.1025,546,mount elizabeth,94211,PRCP,1973,2022
ASN00001018,-16.4181,126.1025,546,mount elizabeth,94211,DAPR,1974,2020
ASN00001018,-16.4181,126.1025,546,mount elizabeth,94211,DATN,1994,2022
ASN00001018,-16.4181,126.1025,546,mount elizabeth,94211,DATX,1994,2022
ASN00001018,-16.4181,126.1025,546,mount elizabeth,94211,DWPR,1974,2020
ASN00001018,-16.4181,126.1025,546,mount elizabeth,94211,MDPR,1974,2020
ASN00001018,-16.4181,126.1025,546,mount elizabeth,94211,MDTN,1994,2022
ASN00001018,-16.4181,126.1025,546,mount elizabeth,94211,MDTX,1994,2022
ASN00001019,-14.2964,126.6453,23,kalumburu,94100,TMAX,1998,2023
ASN00001019,-14.2964,126.6453,23,kalumburu,94100,TMIN,1998,2023
ASN00001019,-14.2964,126.6453,23,kalumburu,94100,PRCP,1998,2023
ASN00001019,-14.2964,126.6453,23,kalumburu,94100,TAVG,2001,2023
ASN00001020,-14.09,126.3867,51,truscott,95101,TMAX,2004,2023
ASN00001020,-14.09,126.3867,51,truscott,95101,TMIN,2004,2023
ASN00001020,-14.09,126.3867,51,truscott,95101,PRCP,2004,2023
ASN00001023,-16.0086,127.9806,90,el questro,NA,PRCP,1967,2023
ASN00001024,-15.9572,127.0628,300,ellenbrae,NA,PRCP,1987,2023
ASN00001024,-15.9572,127.0628,300,ellenbrae,NA,DAPR,1987,2022
ASN00001024,-15.9572,127.0628,300,ellenbrae,NA,DWPR,1987,2022
ASN00001024,-15.9572,127.0628,300,ellenbrae,NA,MDPR,1987,2022
ASN00001025,-15.3797,126.3114,385,doongan,94215,TMAX,1988,2023
ASN00001025,-15.3797,126.3114,385,doongan,94215,TMIN,1988,2023
ASN00001025,-15.3797,126.3114,385,doongan,94215,PRCP,1988,2023
ASN00001025,-15.3797,126.3114,385,doongan,94215,DAPR,1994,2022
ASN00001025,-15.3797,126.3114,385,doongan,94215,DATN,1988,2023
