name,lon,lat
Broken Hill,141.48217212739058,-31.94272294053999
Waroona,115.9191564354523,-32.8590225800856
Toowoomba,151.53598373139343,-27.581709817823686
West Arthur,116.7376122616847,-33.458607016458835
Moreton Bay,152.88374022244776,-27.118806635170667
Etheridge,143.65586902875285,-18.502893033812175
Cleve,136.28340514332822,-33.651669736178704
Torres Strait Island,142.22807043200947,-10.154879916159528
Yorke Peninsula,137.56284552227737,-34.67860965375682
Melbourne,144.94299899132213,-37.815511729591925
Wattle Range,140.52151854333624,-37.469829820428586
Goomalling,116.78131835533756,-31.239413534142013
Woodanilling,117.32877226557197,-33.5347520330324
Victoria Plains,116.32036947051088,-31.017416218210894
Lower Eyre Peninsula,135.59622816574642,-34.40872891263533
Gwydir,150.516341739553,-29.59050940229461
Fairfield,150.89737202590163,-33.86459290045115
Liverpool Plains,150.4382218902439,-31.54896473433993
Katherine,132.19740468226104,-14.690664101243764
Swan Hill,143.12182428519446,-35.121153517764625
Parkes,147.96144087791205,-32.88210297657291
Peppermint Grove,115.76750843517351,-31.999069977543606
Ravensthorpe,120.13844645574389,-33.616417729311465
Launceston,147.3081804355577,-41.3638244922668
Alexandrina,138.8753351234564,-35.35320458249824
Southern Downs,151.88839943391022,-28.402074124823418
Tweed,153.36233713233173,-28.359222288537087
Holdfast Bay,138.5193841691716,-34.99375660187125
Kangaroo Island,137.23478799557216,-35.82909263379892
Croydon,142.21380980641348,-18.551435669176037
Northam,116.63857024764975,-31.687710264798675
Murrindindi,145.62797936923974,-37.312194770041955
Laverton,125.40026069539462,-27.902903000097815
Longreach,143.95823349327188,-23.717433027965498
Huon Valley,146.59888404297863,-43.24627680954422
Weddin,148.01060375149297,-33.87312093326941
Armadale,116.14021031236415,-32.1675387593652
Kulin,118.57497083175137,-32.718560060103954
Perenjori,116.61306710077123,-29.443915722889724
Port Phillip,144.97084838726073,-37.86359092162624
Walgett,148.19457808772458,-29.815637021851305
Pyrenees,143.37329054123728,-37.31403469454905
Vincent,115.85704233198048,-31.93684026426376
Maralinga Tjarutja,130.94001740551326,-29.330004396052455
Warren,147.67680111185967,-31.32154557198452
Buloke,143.00488831235273,-35.9134231072484
Bayside,151.16202079643404,-33.95757236156496
Gold Coast,153.32154492166535,-27.987518485150503
Forbes,147.8699092415028,-33.424244761020546
Rockhampton,150.21455685199717,-23.43863593538593
Bass Coast,145.57301474555103,-38.50986597378513
Claremont,115.77343675653162,-31.989196025272328
Griffith,146.0047777480075,-34.296803598734655
Kowanyama,141.81337815547963,-15.320954519417283
Murweh,146.49078227299506,-26.18907581206561
Lockyer Valley,152.2409400304206,-27.637789462805944
Bayswater,115.90425673519252,-31.90521471097768
Cambridge,115.79049651515419,-31.93216325565087
Kalamunda,116.12075404559538,-32.0134313665481
Mundaring,116.25740245746668,-31.906377812233725
Nedlands,115.78546543291884,-31.969417412102185
Perth,115.84083541751804,-31.96147144108563
Subiaco,115.81987995736785,-31.95184445592008
Wanneroo,115.76795231043211,-31.61457821180707
Meekatharra,118.86731098309858,-25.133614905075206
Mount Remarkable,138.20318439965573,-32.7567163090314
Orroroo/Carrieton,138.6399358720415,-32.51866989540127
Bruce Rock,118.02946736121653,-31.949565969922613
Central Desert,132.38210101240065,-21.49507060382005
North Burnett,151.20265879847966,-25.349745557650998
Barcoo,142.2681809666558,-25.130495393348127
Goyder,139.0725304966468,-33.64614489979967
Port Pirie City and Dists,138.10381565337818,-33.37402098223049
Narromine,148.0640978496191,-32.22614899333523
Wyndham,144.61945825145568,-37.88557113888217
Mansfield,146.2091549018051,-37.196478043719075
Winton,142.42835834849112,-22.537308869338162
Wongan-Ballidu,116.84790223980437,-30.715224498387702
Burke,138.94553093099975,-18.02995732772482
Moorabool,144.2151015089925,-37.63125991329432
Serpentine-Jarrahdale,116.03305191859711,-32.343188093609086
Moora,116.1882039871279,-30.498936300209532
Wollongong,150.84194819182966,-34.361638279585385
Eurobodalla,149.9519269938238,-35.94301544818939
Gosnells,115.99406293484091,-32.06835005053026
Gilgandra,148.68624498679694,-31.61776137114435
Dowerin,117.11081091535175,-31.106952611781143
Newcastle,151.69977357499826,-32.87898914795872
