TRA Online

"Domestic Overnight Trips"
"Calendar year, Month returned from trip, State and Stopover activity by Summation Options"
"Counting: Overnight trips (000), Sample"

,,,"Summation Options","Overnight trips (000)","Sample",
"Calendar year","Month returned from trip","State","Stopover activity",
"2014","February","1","1",593.0346909,262,
,,,"101",454.1508015,190,
,,,"102",124.0586006,57,
,,,"103",50.7251713,23,
,,,"104",2.1030055,1,
,,,"106",20.2301948,10,
,,,"107",115.5428452,55,
,,,"108",0,0,
,,,"110",0,0,
,,,"2",320.1721526,133,
,,,"200",40.4995073,14,
,,,"201",122.9591784,41,
,,,"202",19.3481017,12,
,,,"204",3.3441092,1,
,,,"205",10.185555,4,
,,,"206",79.5931425,28,
,,,"207",48.1682873,16,
,,,"208",0,0,
,,,"209",15.2287256,10,
,,,"210",63.5575001,28,
,,,"290",38.0984385,17,
,,,"3",224.0779048,107,
,,,"301",87.8097321,35,
,,,"302",65.9304217,35,
,,,"303",1.841552,2,
,,,"304",33.7484658,19,
,,,"305",51.8750401,26,
,,,"401",0,0,
,,,"402",4.2407468,2,
,,,"403",0,0,
,,,"404",0,0,
,,,"405",0,0,
,,,"406",0,0,
,,,"407",0,0,
,,,"5",288.4079144,136,
,,,"501",7.0934078,5,
,,,"502",29.5659564,13,
,,,"503",26.2687998,12,
,,,"504",149.2941174,72,
,,,"505",3.9776438,2,
,,,"506",16.7434844,10,
,,,"507",40.7799816,17,
,,,"508",41.8446933,20,
,,,"509",6.8140405,3,
,,,"510",0,0,
,,,"512",0,0,
,,,"513",0,0,
,,,"514",0,0,
,,,"515",0,0,
,,,"516",0,0,
,,,"6",1457.6228717,665,
,,,"601",795.2189734,391,
,,,"602",413.784008,175,
,,,"603",6.9352716,2,
,,,"604",42.0456257,17,
,,,"605",329.7659355,153,
,,,"607",963.7273007,445,
,,,"608",339.0476446,166,
,,,"609",12.165684,7,
,,,"610",81.4617271,42,
,,,"611",122.5707876,50,
,,,"613",54.5739167,21,
,,,"9",14.4823231,9,
,,,"901",14.4823231,9,
,,,"7",138.2230564,54,
,,,"701",138.2230564,54,
,,,"8",0,0,
,,,"801",0,0,
,,"110","1",98.1393528,47,
,,,"101",70.6856308,34,
,,,"102",14.0990049,7,
,,,"103",22.009352,10,
,,,"104",0,0,
,,,"106",5.7508526,1,
,,,"107",6.498041,4,
,,,"108",0,0,
,,,"110",0,0,
,,,"2",27.1121559,14,
,,,"200",4.2510943,2,
,,,"201",2.3164761,1,
,,,"202",1.5999613,2,
,,,"204",0,0,
,,,"205",0,0,
,,,"206",6.8151649,3,
,,,"207",5.5724844,2,
,,,"208",0,0,
,,,"209",1.1292135,1,
,,,"210",9.9163114,4,
,,,"290",3.1501937,2,
,,,"3",100.8722729,45,
,,,"301",51.1823948,17,
,,,"302",25.8997174,16,
,,,"303",0.5468847,1,
,,,"304",16.1889641,8,
,,,"305",17.011314,8,
,,,"401",0,0,
,,,"402",0,0,
,,,"403",0,0,
,,,"404",0,0,
,,,"405",0,0,
,,,"406",0,0,
,,,"407",0,0,
,,,"5",94.4250689,50,
,,,"501",2.0158375,2,
,,,"502",25.287058,10,
,,,"503",9.621883,5,
,,,"504",42.5470073,27,
,,,"505",0,0,
,,,"506",0,0,
,,,"507",2.4451873,1,
,,,"508",23.36813,12,
,,,"509",1.5853423,1,
,,,"510",0,0,
,,,"512",0,0,
,,,"513",0,0,
,,,"514",0,0,
,,,"515",0,0,
,,,"516",0,0,
,,,"6",494.031514,226,
,,,"601",252.7091314,133,
