TRA Online

"Domestic Overnight Trips"
"Calendar year, Month returned from trip, Stopover state/region/SA2 and Stopover activity by Summation Options"
"Counting: Overnight trips (000), Sample"

,,,"Summation Options","Overnight trips (000)","Sample",
"Calendar year","Month returned from trip","Stopover state/region/SA2","Stopover activity",
"2015","January","11290","1",1.4762734,1,
,,,"2",0,0,
,,,"3",0.8970968,1,
,,,"5",0,0,
,,,"6",3.5834768,3,
,,,"9",0,0,
,,,"7",2.2313489,1,
,,,"8",0,0,
,,"11291","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11294","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11296","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11297","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",3.5169468,2,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11298","1",1.1024781,1,
,,,"2",1.1024781,1,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",1.1024781,1,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11299","1",5.5691106,3,
,,,"2",0,0,
,,,"3",2.641137,1,
,,,"5",0,0,
,,,"6",5.5691106,3,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11300","1",2.6652499,1,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",4.0042143,2,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11301","1",0,0,
,,,"2",3.0068401,1,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",3.0068401,1,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11303","1",3.7585873,2,
,,,"2",0.577999,1,
,,,"3",3.1805883,1,
,,,"5",0.577999,1,
,,,"6",10.2387582,4,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11304","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11306","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11307","1",0,0,
,,,"2",0,0,
,,,"3",0.6739746,1,
,,,"5",0.6739746,1,
,,,"6",2.1536423,2,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11309","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11313","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11314","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11315","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11316","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11317","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",2.077776,1,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11318","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11319","1",1.5958059,1,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",1.5958059,1,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11320","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11321","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11323","1",0,0,
,,,"2",3.830557,1,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11324","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11325","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0.5031441,1,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11327","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",3.5109676,2,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11328","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11329","1",7.3030477,1,
,,,"2",7.3030477,1,
,,,"3",7.3030477,1,
,,,"5",0,0,
,,,"6",7.3030477,1,
,,,"9",0,0,
,,,"7",1.1554694,1,
,,,"8",0,0,
,,"11330","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11331","1",0,0,
,,,"2",0,0,
,,,"3",0,0,
,,,"5",0,0,
,,,"6",0,0,
,,,"9",0,0,
,,,"7",0,0,
,,,"8",0,0,
,,"11333","1",4.180527,2,
,,,"2",4.180527,2,
,,,"3",4.180527,2,
,,,"5",2.5888963,1,
,,,"6",6.7694233,3,
