TRA Online

"Domestic Overnight Trips"
"Calendar year, Month returned from trip, State and Stopover reason by Summation Options"
"Counting: Overnight trips (000), Sample"

,,,"Summation Options","Overnight trips (000)","Sample",
"Calendar year","Month returned from trip","State","Stopover reason",
"2016","April","1","1",1083.887277,445,
,,,"101",906.8472832,369,
,,,"104",56.1853878,23,
,,,"106",19.5057488,9,
,,,"107",87.5780038,36,
,,,"110",0.1464805,1,
,,,"112",1.488401,1,
,,,"113",13.3130862,7,
,,,"114",0,0,
,,,"2",958.3971395,388,
,,,"201",686.5479816,290,
,,,"202",275.2618251,100,
,,,"3",455.9371522,151,
,,,"301",388.4957548,125,
,,,"303",34.6238863,16,
,,,"304",4.1121463,3,
,,,"305",28.7053647,7,
,,,"6",122.9944191,54,
,,,"401",0,0,
,,,"501",38.722788,13,
,,,"604",29.153048,17,
,,,"607",21.4501213,11,
,,,"608",7.9553657,3,
,,,"610",16.5202503,7,
,,,"600",9.1928457,3,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",44.0730119,19,
,,,"801",44.0730119,19,
,,,"9",2.3431051,1,
,,,"901",2.3431051,1,
,,,"999",0,0,
,,"110","1",211.3836362,93,
,,,"101",153.8002156,65,
,,,"104",6.5433207,4,
,,,"106",6.93831,3,
,,,"107",40.0994044,18,
,,,"110",0.1464805,1,
,,,"112",1.488401,1,
,,,"113",2.3675041,1,
,,,"114",0,0,
,,,"2",269.2669796,118,
,,,"201",198.5911906,93,
,,,"202",70.675789,25,
,,,"3",257.2419488,89,
,,,"301",237.2824387,80,
,,,"303",19.9595101,9,
,,,"304",0,0,
,,,"305",0,0,
,,,"6",37.6039102,19,
,,,"401",0,0,
,,,"501",2.6712425,2,
,,,"604",16.2477714,9,
,,,"607",3.1320621,3,
,,,"608",5.8594849,2,
,,,"610",2.4664359,1,
,,,"600",7.2269134,2,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",1.9382644,2,
,,,"801",1.9382644,2,
,,,"9",0,0,
,,,"901",0,0,
,,,"999",0,0,
,,"11290","1",0,0,
,,,"101",0,0,
,,,"104",0,0,
,,,"106",0,0,
,,,"107",0,0,
,,,"110",0,0,
,,,"112",0,0,
,,,"113",0,0,
,,,"114",0,0,
,,,"2",6.8368342,2,
,,,"201",4.2076092,1,
,,,"202",2.629225,1,
,,,"3",0,0,
,,,"301",0,0,
,,,"303",0,0,
,,,"304",0,0,
,,,"305",0,0,
,,,"6",0,0,
,,,"401",0,0,
,,,"501",0,0,
,,,"604",0,0,
,,,"607",0,0,
,,,"608",0,0,
,,,"610",0,0,
,,,"600",0,0,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",0,0,
,,,"801",0,0,
,,,"9",0,0,
,,,"901",0,0,
,,,"999",0,0,
,,"11291","1",0,0,
,,,"101",0,0,
,,,"104",0,0,
,,,"106",0,0,
,,,"107",0,0,
,,,"110",0,0,
,,,"112",0,0,
,,,"113",0,0,
,,,"114",0,0,
,,,"2",0,0,
,,,"201",0,0,
,,,"202",0,0,
,,,"3",0,0,
,,,"301",0,0,
,,,"303",0,0,
,,,"304",0,0,
,,,"305",0,0,
,,,"6",2.1294742,1,
,,,"401",0,0,
,,,"501",0,0,
,,,"604",2.1294742,1,
,,,"607",0,0,
,,,"608",0,0,
,,,"610",0,0,
,,,"600",0,0,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",0,0,
,,,"801",0,0,
,,,"9",0,0,
,,,"901",0,0,
,,,"999",0,0,
,,"11294","1",0,0,
,,,"101",0,0,
,,,"104",0,0,
,,,"106",0,0,
,,,"107",0,0,
,,,"110",0,0,
,,,"112",0,0,
,,,"113",0,0,
,,,"114",0,0,
,,,"2",0,0,
,,,"201",0,0,
,,,"202",0,0,
,,,"3",0,0,
,,,"301",0,0,
,,,"303",0,0,
,,,"304",0,0,
,,,"305",0,0,
,,,"6",0,0,
,,,"401",0,0,
,,,"501",0,0,
,,,"604",0,0,
,,,"607",0,0,
,,,"608",0,0,
,,,"610",0,0,
,,,"600",0,0,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",0,0,
,,,"801",0,0,
,,,"9",0,0,
,,,"901",0,0,
,,,"999",0,0,
,,"11296","1",0,0,
,,,"101",0,0,
,,,"104",0,0,
,,,"106",0,0,
,,,"107",0,0,
,,,"110",0,0,
,,,"112",0,0,
,,,"113",0,0,
,,,"114",0,0,
,,,"2",0,0,
,,,"201",0,0,
,,,"202",0,0,
,,,"3",0,0,
,,,"301",0,0,
,,,"303",0,0,
,,,"304",0,0,
,,,"305",0,0,
,,,"6",0,0,
,,,"401",0,0,
,,,"501",0,0,
,,,"604",0,0,
,,,"607",0,0,
,,,"608",0,0,
,,,"610",0,0,
,,,"600",0,0,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",0,0,
,,,"801",0,0,
,,,"9",0,0,
,,,"901",0,0,
,,,"999",0,0,
,,"11297","1",0,0,
,,,"101",0,0,
,,,"104",0,0,
,,,"106",0,0,
,,,"107",0,0,
,,,"110",0,0,
,,,"112",0,0,
,,,"113",0,0,
,,,"114",0,0,
,,,"2",0,0,
,,,"201",0,0,
,,,"202",0,0,
,,,"3",0,0,
,,,"301",0,0,
,,,"303",0,0,
,,,"304",0,0,
,,,"305",0,0,
,,,"6",0,0,
,,,"401",0,0,
,,,"501",0,0,
,,,"604",0,0,
,,,"607",0,0,
,,,"608",0,0,
,,,"610",0,0,
,,,"600",0,0,
,,,"7",0,0,
,,,"701",0,0,
,,,"8",0,0,
,,,"801",0,0,
,,,"9",0,0,
,,,"901",0,0,
,,,"999",0,0,
,,"11298","1",3.9434792,1,
,,,"101",3.9434792,1,
,,,"104",0,0,
,,,"106",0,0,
,,,"107",0,0,
,,,"110",0,0,
,,,"112",0,0,
,,,"113",0,0,
,,,"114",0,0,
,,,"2",0,0,
,,,"201",0,0,
,,,"202",0,0,
,,,"3",0,0,
,,,"301",0,0,
,,,"303",0,0,
,,,"304",0,0,
,,,"305",0,0,
,,,"6",0,0,
,,,"401",0,0,
,,,"501",0,0,
,,,"604",0,0,
,,,"607",0,0,
,,,"608",0,0,
,,,"610",0,0,
,,,"600",0,0,
