name,stop_reason,l1_group,l2_group
Holiday,1,1,1
Holiday,101,0,11
Sport - participating,104,0,11
Sport - watching,106,0,11
"To attend an event, sport or cultural or festival",107,0,11
Accompanying convention/conference/seminar/trade fair/exhibition,110,0,11
Incentive reward provided by business employer,112,0,11
Shopping,113,0,11
Attend Olympics or Paralympics,114,0,11
Visiting friends and relatives,2,2,2
Visiting relatives,201,0,22
Visiting friends,202,0,22
Business,3,3,3
Business,301,0,33
Convention/conference/seminar/trade fair/exhibition,303,0,33
Training and research (employed only),304,0,33
Work (as driver or transport crew),305,0,33
Other reason,6,6,6
Employment,401,0,66
Education,501,0,66
Medical reasons,604,0,66
Personal appointment/business (excl health),607,0,66
Providing transport,608,0,66
Attend Funeral,610,0,66
Other nfd,600,0,66
No other reason,7,7,7
No other reason,701,0,77
In transit,8,8,8
In transit,801,0,88
Not stated/not asked,9,9,9
Not Asked,901,0,99
Not Stated,999,0,99
