year,month,sa2_code_tra,stop_activity,trips,n_sample
2014,January,11009,1,15.632172999999998,2
2014,January,11009,3,2.1298692999999997,2
2014,January,11009,5,2.1298692999999997,2
2014,January,11009,6,19.2094791,5
2014,January,11014,6,6.8607083,2
2014,January,11014,7,1.3400823000000002,1
2014,January,11015,1,3.3572556999999996,2
2014,January,11015,2,2.4012279,2
2014,January,11015,6,16.634624300000002,5
2014,January,11016,1,31.9161075,10
2014,January,11016,2,20.2396036,8
2014,January,11016,3,3.5714860999999996,2
2014,January,11016,6,39.90369739999999,11
2014,January,11017,1,26.397811500000003,13
2014,January,11017,2,15.515882300000001,7
2014,January,11017,3,3.0698690999999996,1
2014,January,11017,5,10.386486900000003,5
2014,January,11017,6,44.804249199999994,19
2014,January,11017,7,0.5391366999999999,1
2014,January,11018,1,5.5603523,2
2014,January,11018,2,5.5603523,2
2014,January,11018,5,5.5603523,2
2014,January,11018,6,5.5603523,2
2014,January,11019,1,7.4506399000000005,3
2014,January,11019,2,4.6458635,2
2014,January,11019,5,6.8079488999999995,2
2014,January,11019,6,8.521098699999998,4
2014,January,11019,7,4.5368520000000006,2
2014,January,11019,9,1.0704588000000002,1
2014,January,11020,1,4.000349600000001,1
2014,January,11020,2,4.000349600000001,1
2014,January,11020,6,4.000349600000001,1
2014,January,11021,1,21.8048092,8
2014,January,11021,2,15.655238200000001,6
2014,January,11021,3,3.7385752,1
2014,January,11021,5,3.2625535,1
2014,January,11021,6,20.7323064,7
2014,January,11023,1,27.801914400000005,6
2014,January,11023,2,29.7641738,6
2014,January,11023,3,7.0398595,2
2014,January,11023,5,16.479991300000002,2
2014,January,11023,6,33.3615143,8
2014,January,11024,1,3.4784886999999998,2
2014,January,11024,2,1.2478599,1
2014,January,11024,6,2.2306287,1
2014,January,11024,7,0.8437910000000002,1
2014,January,11025,1,17.615597,7
2014,January,11025,2,14.357599100000002,5
2014,January,11025,3,3.2579979000000003,2
2014,January,11025,5,3.4766059999999994,2
2014,January,11025,6,16.658872700000003,7
2014,January,11026,1,19.180435,4
2014,January,11026,2,10.8269906,2
2014,January,11026,3,5.0214729,1
2014,January,11026,5,8.859554500000003,2
2014,January,11026,6,18.473363199999998,5
2014,January,11027,1,46.2278144,16
2014,January,11027,2,33.58768469999999,12
2014,January,11027,3,11.175492800000002,3
2014,January,11027,5,19.3585901,5
2014,January,11027,6,47.19871700000001,17
2014,January,11028,1,10.2405346,5
2014,January,11028,2,1.2892691999999997,1
2014,January,11028,5,2.1058137,1
2014,January,11028,6,4.4108406,3
2014,January,11029,1,9.851424000000002,5
2014,January,11029,2,8.828293299999999,4
2014,January,11029,5,1.0231306999999998,1
2014,January,11029,6,11.360564200000002,6
2014,January,11030,1,4.561247700000001,1
2014,January,11030,2,4.561247700000001,1
2014,January,11030,6,6.852414799999998,3
2014,January,11031,1,3.5312257999999996,3
2014,January,11031,6,3.5312257999999996,3
2014,January,11032,1,10.967249200000001,4
2014,January,11032,2,12.5220487,3
2014,January,11032,3,6.028851899999999,1
2014,January,11032,6,17.4389191,7
2014,January,11032,7,1.2988527,1
2014,January,11033,6,0.8447495000000002,1
2014,January,11035,1,0.15154540000000005,1
2014,January,11035,6,0.15154540000000005,1
2014,January,11038,6,2.0335432,1
2014,January,11039,1,14.486456800000003,7
2014,January,11039,2,7.617343999999999,3
2014,January,11039,6,15.1291478,8
2014,January,11040,1,22.2494621,11
2014,January,11040,2,12.8175274,5
2014,January,11040,3,6.0940231,3
2014,January,11040,5,10.556485300000002,5
