year,month,sa2_code_tra,stop_reason,trips,n_sample
2014,January,11009,1,4.4906120000000005,2
2014,January,11009,2,14.718867199999998,3
2014,January,11014,1,1.3400823000000002,1
2014,January,11014,2,6.8607083,2
2014,January,11015,1,6.368904999999999,3
2014,January,11015,2,12.5231305,3
2014,January,11016,1,37.0982514,12
2014,January,11016,3,5.521244,1
2014,January,11017,1,28.753389,10
2014,January,11017,2,11.867641,8
2014,January,11017,6,4.0137466,2
2014,January,11017,8,8.363000500000002,2
2014,January,11018,1,5.5603523,2
2014,January,11019,1,5.3092156,3
2014,January,11019,2,5.073631400000001,2
2014,January,11019,3,2.6751038,1
2014,January,11020,1,4.000349600000001,1
2014,January,11021,1,18.066233999999998,7
2014,January,11021,2,3.7385752,1
2014,January,11023,1,27.246837,6
2014,January,11023,2,6.114677299999999,2
2014,January,11024,1,3.4784886999999998,2
2014,January,11024,3,0.8437910000000002,1
2014,January,11025,1,7.3951632,3
2014,January,11025,2,4.6459224,3
2014,January,11025,3,2.6751038,1
2014,January,11025,6,3.0587042,1
2014,January,11025,8,4.464087899999999,1
2014,January,11026,1,14.158962099999998,3
2014,January,11026,2,9.335874,3
2014,January,11027,1,32.6167821,11
2014,January,11027,2,14.5819349,6
2014,January,11028,1,10.2405346,5
2014,January,11029,1,8.1741396,3
2014,January,11029,2,3.1864245,3
2014,January,11030,1,10.998868499999999,3
2014,January,11030,2,0.414794,1
2014,January,11031,2,3.5312257999999996,3
2014,January,11032,1,9.536343399999998,2
2014,January,11032,2,9.201428399999998,6
2014,January,11033,2,0.8447495000000002,1
2014,January,11035,2,0.15154540000000005,1
2014,January,11038,6,2.0335432,1
2014,January,11039,1,11.493268099999998,5
2014,January,11039,2,3.6358797,3
2014,January,11040,1,14.0639767,6
2014,January,11040,2,8.185485400000001,5
2014,January,11042,2,2.7325645,3
2014,January,11043,1,1.5280008,1
2014,January,11044,1,7.4848682,3
2014,January,11044,2,4.572769200000001,2
2014,January,11046,1,2.3343548999999997,1
2014,January,11046,3,5.533298800000001,1
2014,January,11048,1,2.9736823999999995,1
2014,January,11048,2,1.9852253999999998,1
2014,January,11049,6,1.2206796999999998,1
2014,January,11051,2,1.4428348999999998,1
2014,January,11052,1,1.8056166999999999,1
2014,January,11053,1,25.0552712,12
2014,January,11053,2,6.5754036000000005,3
2014,January,11054,1,2.5559568999999995,1
2014,January,11054,2,0.7627214000000001,1
2014,January,11057,1,4.4984592,2
2014,January,11057,2,8.0912964,4
2014,January,11060,2,0.7545700999999999,1
2014,January,11061,1,17.1343269,2
2014,January,11062,2,5.348034799999999,2
2014,January,11063,1,3.1094068,1
2014,January,11063,2,6.4922979000000005,4
2014,January,11063,3,0.5745990000000001,1
2014,January,11064,1,10.7391869,5
2014,January,11065,1,1.1538355999999999,1
2014,January,11065,3,3.3388661999999996,1
2014,January,11066,1,2.1436226,1
2014,January,11066,3,19.6637539,2
2014,January,11067,1,5.3132756,3
2014,January,11067,2,4.3748515999999995,2
2014,January,11067,8,1.9864124,1
2014,January,11068,2,0.58672,1
2014,January,11069,1,1.9898401,1
2014,January,11069,3,3.6154534999999997,2
2014,January,11069,8,1.9864124,1
2014,January,11070,1,3.5623913000000003,1
2014,January,11070,2,2.3145472,2
2014,January,11072,1,3.7836876000000004,2
2014,January,11072,2,1.2037443999999997,1
2014,January,11072,3,1.1125995999999998,1
2014,January,11074,1,3.2143167000000004,1
