"lat.x","lon.x","year","eventDate","scientificName","weather_station_id","stname","lat.y","lon.y","address","city","state"
-43.242735,147.125383,2024,2024-03-24 12:47:00,"Sepia","949610-99999","DOVER",-43.317,147.017,"Bay View Road, Dover, Huon Valley, Tasmania, 7117, Australia","Bay View Road","Tasmania"
-43.194468,147.867947,2024,2024-06-08 13:40:00,"Sepia","959860-99999","TASMAN ISLAND",-43.233,148,"Access Track, Tasman, Tasmania, Australia","Access Track","Tasmania"
-43.175612,147.856445,2024,2024-02-03 15:04:55,"Sepia","959860-99999","TASMAN ISLAND",-43.233,148,"Access Track, Tasman, Tasmania, Australia","Access Track","Tasmania"
-43.142764,147.963463,2024,2024-10-05 13:08:00,"Sepia","959860-99999","TASMAN ISLAND",-43.233,148,"Access Track, Tasman, Tasmania, Australia","Access Track","Tasmania"
-43.142665,147.962452,2024,2024-10-05 13:51:00,"Sepia","959860-99999","TASMAN ISLAND",-43.233,148,"Access Track, Tasman, Tasmania, Australia","Access Track","Tasmania"
-43.142508,147.961957,2024,2024-10-05 13:52:00,"Sepia","959860-99999","TASMAN ISLAND",-43.233,148,"Access Track, Tasman, Tasmania, Australia","Access Track","Tasmania"
-43.142492,147.961675,2024,2024-10-05 13:53:00,"Sepia","959860-99999","TASMAN ISLAND",-43.233,148,"Access Track, Tasman, Tasmania, Australia","Access Track","Tasmania"
-43.142102,147.961108,2024,2024-10-05 13:55:00,"Sepia","959860-99999","TASMAN ISLAND",-43.233,148,"Access Track, Tasman, Tasmania, Australia","Access Track","Tasmania"
-43.077823,147.961371,2024,2024-05-12 10:57:13,"Sepia","959860-99999","TASMAN ISLAND",-43.233,148,"Access Track, Tasman, Tasmania, Australia","Access Track","Tasmania"
-43.057517,147.329637,2024,2024-10-11 18:59:53,"Sepia","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-42.986938,147.963474,2024,2024-01-21 10:30:00,"Sepia","949510-99999","DUNALLEY (STROUD POINT)",-42.9,147.783,"Dunalley, Sorell, Tasmania, 7177, Australia","Dunalley","Tasmania"
-42.812678,147.869637,2024,2024-05-19 11:06:00,"Sepia","949510-99999","DUNALLEY (STROUD POINT)",-42.9,147.783,"Dunalley, Sorell, Tasmania, 7177, Australia","Dunalley","Tasmania"
-42.812513,147.869617,2024,2024-05-19 11:08:00,"Sepia","949510-99999","DUNALLEY (STROUD POINT)",-42.9,147.783,"Dunalley, Sorell, Tasmania, 7177, Australia","Dunalley","Tasmania"
-42.812448,147.869617,2024,2024-05-19 11:08:00,"Sepia","949510-99999","DUNALLEY (STROUD POINT)",-42.9,147.783,"Dunalley, Sorell, Tasmania, 7177, Australia","Dunalley","Tasmania"
-42.812417,147.869635,2024,2024-05-19 11:08:00,"Sepia","949510-99999","DUNALLEY (STROUD POINT)",-42.9,147.783,"Dunalley, Sorell, Tasmania, 7177, Australia","Dunalley","Tasmania"
-42.812335,147.869585,2024,2024-05-19 11:09:00,"Sepia","949510-99999","DUNALLEY (STROUD POINT)",-42.9,147.783,"Dunalley, Sorell, Tasmania, 7177, Australia","Dunalley","Tasmania"
-42.635964,148.145299,2024,2024-07-23 15:29:36,"Sepia","959880-99999","MARIA ISLAND (POINT LESUEUR)",-42.667,148.017,"Convict Cells track, Glamorgan-Spring Bay, Tasmania, Australia","Convict Cells track","Tasmania"
-42.589273,148.055478,2024,2024-10-24 11:40:00,"Sepia","959880-99999","MARIA ISLAND (POINT LESUEUR)",-42.667,148.017,"Convict Cells track, Glamorgan-Spring Bay, Tasmania, Australia","Convict Cells track","Tasmania"
-42.577607,148.063306,2024,2024-02-04 12:16:00,"Sepia","959880-99999","MARIA ISLAND (POINT LESUEUR)",-42.667,148.017,"Convict Cells track, Glamorgan-Spring Bay, Tasmania, Australia","Convict Cells track","Tasmania"
-42.166347,148.297072,2024,2024-01-09 18:59:05,"Sepia","949870-99999","FRIENDLY BEACHES",-42,148.283,"Friendly Beaches Road, Friendly Beaches, Glamorgan-Spring Bay, Tasmania, 7215, Australia","Friendly Beaches Road","Tasmania"
-42.138097,145.264435,2024,2024-09-15 11:48:00,"Sepia","949560-99999","STRAHAN AERODROME",-42.15,145.283,"Ocean Beach Road, Strahan, West Coast, Tasmania, 7468, Australia","Ocean Beach Road","Tasmania"
-42.136921,145.264709,2024,2024-09-15 10:52:00,"Sepia","949560-99999","STRAHAN AERODROME",-42.15,145.283,"Ocean Beach Road, Strahan, West Coast, Tasmania, 7468, Australia","Ocean Beach Road","Tasmania"
-42.136263,145.264657,2024,2024-09-15 11:01:00,"Sepia","949560-99999","STRAHAN AERODROME",-42.15,145.283,"Ocean Beach Road, Strahan, West Coast, Tasmania, 7468, Australia","Ocean Beach Road","Tasmania"
-42.136262,145.264657,2024,2024-09-15 11:01:00,"Sepia","949560-99999","STRAHAN AERODROME",-42.15,145.283,"Ocean Beach Road, Strahan, West Coast, Tasmania, 7468, Australia","Ocean Beach Road","Tasmania"
-42.136257,145.26471,2024,2024-09-15 11:00:00,"Sepia","949560-99999","STRAHAN AERODROME",-42.15,145.283,"Ocean Beach Road, Strahan, West Coast, Tasmania, 7468, Australia","Ocean Beach Road","Tasmania"
-42.13625,145.264663,2024,2024-09-15 11:00:00,"Sepia","949560-99999","STRAHAN AERODROME",-42.15,145.283,"Ocean Beach Road, Strahan, West Coast, Tasmania, 7468, Australia","Ocean Beach Road","Tasmania"
-42.13601,145.264767,2024,2024-09-15 10:53:00,"Sepia","949560-99999","STRAHAN AERODROME",-42.15,145.283,"Ocean Beach Road, Strahan, West Coast, Tasmania, 7468, Australia","Ocean Beach Road","Tasmania"
-42.135878,145.264875,2024,2024-09-15 11:45:00,"Sepia","949560-99999","STRAHAN AERODROME",-42.15,145.283,"Ocean Beach Road, Strahan, West Coast, Tasmania, 7468, Australia","Ocean Beach Road","Tasmania"
-42.135702,145.264897,2024,2024-09-15 12:10:00,"Sepia","949560-99999","STRAHAN AERODROME",-42.15,145.283,"Ocean Beach Road, Strahan, West Coast, Tasmania, 7468, Australia","Ocean Beach Road","Tasmania"
-42.135595,145.264953,2024,2024-09-15 10:56:00,"Sepia","949560-99999","STRAHAN AERODROME",-42.15,145.283,"Ocean Beach Road, Strahan, West Coast, Tasmania, 7468, Australia","Ocean Beach Road","Tasmania"
-42.105233,148.335013,2024,2024-02-22 12:07:00,"Sepia","949870-99999","FRIENDLY BEACHES",-42,148.283,"Friendly Beaches Road, Friendly Beaches, Glamorgan-Spring Bay, Tasmania, 7215, Australia","Friendly Beaches Road","Tasmania"
-42.105227,148.335022,2024,2024-02-22 12:07:00,"Sepia","949870-99999","FRIENDLY BEACHES",-42,148.283,"Friendly Beaches Road, Friendly Beaches, Glamorgan-Spring Bay, Tasmania, 7215, Australia","Friendly Beaches Road","Tasmania"
-41.874462,148.310805,2024,2024-01-07 16:10:40,"Sepia","959890-99999","BICHENO (COUNCIL DEPOT)",-41.867,148.3,"Burgess Street, Bicheno, Glamorgan-Spring Bay, Tasmania, 7215, Australia","Burgess Street","Tasmania"
-41.86003,148.28653,2024,2024-01-08 13:00:56,"Sepia","959890-99999","BICHENO (COUNCIL DEPOT)",-41.867,148.3,"Burgess Street, Bicheno, Glamorgan-Spring Bay, Tasmania, 7215, Australia","Burgess Street","Tasmania"
