"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-01,2024,1,1,1,12.2,24,9.9,24,1020.7,24,894,24,NA,0,4.2,24,6.7,NA,17.4,NA,7.5,NA,0,"G",NA,0,0,0,0,0,0,1.2,1.4,85.8
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-02,2024,1,2,2,14.4,24,12,24,1018.9,24,892.4,24,NA,0,3.2,24,5.7,NA,18.3,NA,10.2,NA,0,"G",NA,0,0,0,0,0,0,1.4,1.6,85.5
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-03,2024,1,3,3,11.6,24,9.3,24,1017.7,24,891.4,24,NA,0,6.5,24,9.3,NA,19.9,NA,6.4,"*",0.51,"G",NA,0,0,0,0,0,0,1.2,1.4,85.8
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-04,2024,1,4,4,12,24,8,24,1023,24,896,24,NA,0,3.9,24,7.7,NA,17.8,NA,5.8,NA,0.25,"G",NA,0,0,0,0,0,0,1.1,1.4,76.5
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-05,2024,1,5,5,12.7,24,6.3,24,1023.2,24,896.1,24,NA,0,2.6,24,5.7,NA,17.8,NA,8.8,NA,0,"G",NA,0,0,0,0,0,0,1,1.5,65.1
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-06,2024,1,6,6,13.1,24,9.2,24,1017.4,24,891.1,24,NA,0,6,24,10.8,NA,20.8,NA,9,NA,0.25,"G",NA,0,1,0,0,0,0,1.2,1.5,77.2
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-07,2024,1,7,7,12.7,24,12.6,24,1009.8,24,884.5,24,NA,0,7.4,24,12.4,NA,13.7,"*",9.2,NA,52.07,"G",NA,0,1,0,0,0,0,1.5,1.5,99.3
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-08,2024,1,8,8,11.4,24,8,23,1013.8,24,888,24,NA,0,4.6,24,7.7,NA,15.1,NA,8.1,"*",0.25,"G",NA,0,0,0,0,0,0,1.1,1.3,79.6
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-09,2024,1,9,9,11.4,24,9.9,24,1011.8,24,886.2,24,NA,0,5,24,10.3,NA,18.8,NA,7.8,NA,0,"G",NA,0,0,0,0,0,0,1.2,1.3,90.5
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-10,2024,1,10,10,7.9,24,7.9,24,1013.8,24,887.9,24,NA,0,6.2,24,9.8,NA,11.3,NA,5.3,"*",5.33,"G",NA,0,1,0,0,0,0,1.1,1.1,100
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-11,2024,1,11,11,11,24,8,24,1020.2,24,893.5,24,NA,0,5.6,24,10.8,NA,13.5,"*",5,NA,0.25,"G",NA,0,0,0,0,0,0,1.1,1.3,81.8
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-12,2024,1,12,12,12.2,24,7.7,24,1016.8,24,890.5,24,NA,0,6.8,24,10.8,NA,20.9,NA,5.8,"*",3.05,"G",NA,0,1,0,0,0,0,1,1.4,74
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-13,2024,1,13,13,5.9,24,4.1,24,1020.4,24,893.7,24,NA,0,9.7,24,12.9,NA,12.5,NA,2.8,"*",0,"G",NA,0,0,0,0,0,0,0.8,0.9,88.2
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-14,2024,1,14,14,10.3,23,6.8,23,1024,23,896.9,23,NA,0,5.9,23,9.3,NA,15,NA,2.7,NA,0,"G",NA,0,0,0,0,0,0,1,1.3,78.9
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-15,2024,1,15,15,11.3,24,7.7,24,1019.8,24,893.2,24,NA,0,8.4,24,16.5,NA,18.3,NA,7.1,"*",0,"G",NA,0,0,0,0,0,0,1,1.3,78.5
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-16,2024,1,16,16,13.4,24,11.6,24,1006.5,24,881.5,24,NA,0,11.4,24,16.5,NA,17.9,NA,6.7,NA,22.86,"G",NA,0,1,0,0,0,0,1.4,1.5,88.9
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-17,2024,1,17,17,6.3,24,6.2,24,995.6,24,872,24,NA,0,7.9,24,11.8,NA,13.4,NA,4.7,"*",38.35,"G",NA,0,1,0,0,0,0,0.9,1,99.3
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-18,2024,1,18,18,6.1,24,6.1,24,995.5,24,871.9,24,NA,0,13.4,24,18.5,NA,7.7,"*",4.4,NA,81.28,"G",NA,0,1,0,0,0,0,0.9,0.9,100
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-19,2024,1,19,19,8.7,24,4.3,24,1007.1,24,882.1,24,NA,0,6,24,9.3,NA,10.5,"*",4.5,NA,2.29,"G",NA,0,1,0,0,0,0,0.8,1.1,73.9
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-20,2024,1,20,20,10.1,24,7.6,24,1004.5,24,879.8,24,NA,0,5.6,24,8.8,NA,14.9,NA,6.4,NA,0,"G",NA,0,0,0,0,0,0,1,1.2,84.5
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-21,2024,1,21,21,5.3,24,5.1,24,1009,24,883.8,24,NA,0,8.6,24,11.8,NA,10.1,NA,3,"*",1.02,"G",NA,0,1,0,0,0,0,0.9,0.9,98.6
"959520-99999","MOUNT READ","AS","AUSTRALIA","AU","AUS","",-41.85,145.533,1120,19980301,20240909,2024-01-22,2024,1,22,22,7.2,24,5.1,24,1014.6,24,888.6,24,NA,0,7.3,24,10.8,NA,11.8,NA,2.9,NA,0.25,"G",NA,0,0,0,0,0,0,0.9,1,86.5
