"lat","lon","year","eventDate","scientificName"
-17.9,125.3,2024,2024-01-12 05:51:00,"Chloebia gouldiae"
-17.7,125.4,2024,2024-05-18 05:22:00,"Chloebia gouldiae"
-17.5,126.1,2024,2024-04-20 06:35:00,"Chloebia gouldiae"
-17.5,126.1,2024,2024-05-08 06:36:00,"Chloebia gouldiae"
-17.5,126.2,2024,2024-03-24 07:00:00,"Chloebia gouldiae"
-17.5,128,2024,2024-05-09 06:19:00,"Chloebia gouldiae"
-17.5,126.1,2024,2024-05-24 07:07:00,"Chloebia gouldiae"
-17.5,126.1,2024,2024-03-24 07:00:00,"Chloebia gouldiae"
-17.5,126.1,2024,2024-04-30 06:24:00,"Chloebia gouldiae"
-17.5,126.2,2024,2024-03-24 07:00:00,"Chloebia gouldiae"
-17.5,126.1,2024,2024-04-22 06:47:00,"Chloebia gouldiae"
-17.5,126.2,2024,2024-02-10 07:20:00,"Chloebia gouldiae"
-17.5,126.1,2024,2024-05-25 06:10:00,"Chloebia gouldiae"
-17.5,126.1,2024,2024-05-31,"Chloebia gouldiae"
-17.1,125.1,2024,2024-05-12 06:16:00,"Chloebia gouldiae"
-17.1,125.2,2024,2024-04-07 11:30:00,"Chloebia gouldiae"
-17,125.6,2024,2024-03-29 14:46:00,"Chloebia gouldiae"
-16.8,124.8,2024,2024-07-06 07:45:00,"Chloebia gouldiae"
-16.6,128.2,2024,2024-05-08 09:25:00,"Chloebia gouldiae"
-16.6,123,2024,2024-07-03 07:02:00,"Chloebia gouldiae"
-16.6,122.9,2024,2024-07-03 07:06:00,"Chloebia gouldiae"
-16.58397,134.97164,2024,2024-03-11,"Chloebia gouldiae"
-16.5,123,2024,2024-04-20 09:38:00,"Chloebia gouldiae"
-16.5,123,2024,2024-05-07 08:20:00,"Chloebia gouldiae"
-16.5,123,2024,2024-04-20 14:03:00,"Chloebia gouldiae"
-16.5,123,2024,2024-04-20 16:23:00,"Chloebia gouldiae"
-16.5,123,2024,2024-04-21 09:15:00,"Chloebia gouldiae"
-16.5,123,2024,2024-04-20 09:38:00,"Chloebia gouldiae"
-16.5,123,2024,2024-04-21 10:58:00,"Chloebia gouldiae"
-16.5,123,2024,2024-04-24 07:18:00,"Chloebia gouldiae"
-16.5,123,2024,2024-04-20 14:03:00,"Chloebia gouldiae"
-16.5,122.9,2024,2024-02-27 07:46:00,"Chloebia gouldiae"
-16.5,123,2024,2024-05-06 12:59:00,"Chloebia gouldiae"
-16.5,123,2024,2024-04-21 08:22:00,"Chloebia gouldiae"
-16.4,126.1,2024,2024-05-15 15:11:00,"Chloebia gouldiae"
