"lat.x","lon.x","year","eventDate","scientificName","weather_station_id","stname","lat.y","lon.y","address","city","state"
-17.9,125.3,2024,2024-01-12 05:51:00,"Chloebia gouldiae","942060-99999","FITZROY CROSSING AERO",-18.183,125.567,"Forrest Road, Junjuwa, Fitzroy Crossing, Shire Of Derby-West Kimberley, Western Australia, 6765, Australia","Forrest Road","Western Australia"
-17.7,125.4,2024,2024-05-18 05:22:00,"Chloebia gouldiae","942060-99999","FITZROY CROSSING AERO",-18.183,125.567,"Forrest Road, Junjuwa, Fitzroy Crossing, Shire Of Derby-West Kimberley, Western Australia, 6765, Australia","Forrest Road","Western Australia"
-17.5,126.1,2024,2024-04-20 06:35:00,"Chloebia gouldiae","942060-99999","FITZROY CROSSING AERO",-18.183,125.567,"Forrest Road, Junjuwa, Fitzroy Crossing, Shire Of Derby-West Kimberley, Western Australia, 6765, Australia","Forrest Road","Western Australia"
-17.5,126.1,2024,2024-05-08 06:36:00,"Chloebia gouldiae","942060-99999","FITZROY CROSSING AERO",-18.183,125.567,"Forrest Road, Junjuwa, Fitzroy Crossing, Shire Of Derby-West Kimberley, Western Australia, 6765, Australia","Forrest Road","Western Australia"
-17.5,126.2,2024,2024-03-24 07:00:00,"Chloebia gouldiae","942060-99999","FITZROY CROSSING AERO",-18.183,125.567,"Forrest Road, Junjuwa, Fitzroy Crossing, Shire Of Derby-West Kimberley, Western Australia, 6765, Australia","Forrest Road","Western Australia"
-17.5,128,2024,2024-05-09 06:19:00,"Chloebia gouldiae","942130-99999","WARMUN",-17.017,128.217,"Warmun Roadhouse and Caravan Park, Great Northern Highway, Warmun, Shire of Halls Creek, Western Australia, Australia","Warmun Roadhouse and Caravan Park","Western Australia"
-17.5,126.1,2024,2024-05-24 07:07:00,"Chloebia gouldiae","942060-99999","FITZROY CROSSING AERO",-18.183,125.567,"Forrest Road, Junjuwa, Fitzroy Crossing, Shire Of Derby-West Kimberley, Western Australia, 6765, Australia","Forrest Road","Western Australia"
-17.5,126.1,2024,2024-03-24 07:00:00,"Chloebia gouldiae","942060-99999","FITZROY CROSSING AERO",-18.183,125.567,"Forrest Road, Junjuwa, Fitzroy Crossing, Shire Of Derby-West Kimberley, Western Australia, 6765, Australia","Forrest Road","Western Australia"
-17.5,126.1,2024,2024-04-30 06:24:00,"Chloebia gouldiae","942060-99999","FITZROY CROSSING AERO",-18.183,125.567,"Forrest Road, Junjuwa, Fitzroy Crossing, Shire Of Derby-West Kimberley, Western Australia, 6765, Australia","Forrest Road","Western Australia"
-17.5,126.2,2024,2024-03-24 07:00:00,"Chloebia gouldiae","942060-99999","FITZROY CROSSING AERO",-18.183,125.567,"Forrest Road, Junjuwa, Fitzroy Crossing, Shire Of Derby-West Kimberley, Western Australia, 6765, Australia","Forrest Road","Western Australia"
