"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"941280-99999","DOUGLAS RIVER","AS","AUSTRALIA","AU","AUS","",-13.833,131.183,44,19901024,20240909,2024-01-01,2024,1,1,1,30.1,24,24.4,24,1008.2,24,1003.2,24,NA,0,2.1,24,3.6,NA,38.8,NA,24.9,"*",0,"G",NA,0,0,0,0,0,0,3.1,4.3,71.6
"941280-99999","DOUGLAS RIVER","AS","AUSTRALIA","AU","AUS","",-13.833,131.183,44,19901024,20240909,2024-01-02,2024,1,2,2,29.8,24,23.3,24,1008,24,1003,24,NA,0,2.1,24,6.7,NA,37,NA,24.8,NA,0,"G",NA,0,0,0,0,0,0,2.9,4.2,68.2
"941280-99999","DOUGLAS RIVER","AS","AUSTRALIA","AU","AUS","",-13.833,131.183,44,19901024,20240909,2024-01-03,2024,1,3,3,28.4,24,24.6,24,1009.5,24,1004.5,24,NA,0,1.7,24,3.6,NA,37.1,NA,24.9,NA,0,"G",NA,0,0,0,0,0,0,3.1,3.9,79.9
"941280-99999","DOUGLAS RIVER","AS","AUSTRALIA","AU","AUS","",-13.833,131.183,44,19901024,20240909,2024-01-04,2024,1,4,4,28.4,24,23.9,24,1009.5,24,1004.5,24,NA,0,2.2,24,5.7,NA,37,NA,24.4,"*",14.22,"G",NA,1,1,0,0,0,0,3,3.9,76.6
"941280-99999","DOUGLAS RIVER","AS","AUSTRALIA","AU","AUS","",-13.833,131.183,44,19901024,20240909,2024-01-05,2024,1,5,5,29.6,24,24.6,24,1008.9,24,1003.9,24,NA,0,1.7,24,4.6,NA,37.1,NA,24.2,NA,0,"G",NA,0,0,0,0,0,0,3.1,4.1,74.6
"941280-99999","DOUGLAS RIVER","AS","AUSTRALIA","AU","AUS","",-13.833,131.183,44,19901024,20240909,2024-01-06,2024,1,6,6,28.4,24,25.1,24,1008.3,24,1003.3,24,NA,0,2.2,24,5.7,NA,36.1,NA,25,"*",11.94,"G",NA,1,1,0,0,0,0,3.2,3.9,82.3
"941280-99999","DOUGLAS RIVER","AS","AUSTRALIA","AU","AUS","",-13.833,131.183,44,19901024,20240909,2024-01-07,2024,1,7,7,27.1,24,25.1,24,1008.3,24,1003.3,24,NA,0,1.5,24,5.7,NA,33.4,NA,24.7,NA,0.51,"G",NA,0,0,0,0,0,0,3.2,3.6,88.8
"941280-99999","DOUGLAS RIVER","AS","AUSTRALIA","AU","AUS","",-13.833,131.183,44,19901024,20240909,2024-01-08,2024,1,8,8,28.2,24,25.3,24,1006.9,24,1001.9,24,NA,0,1.6,24,5.1,NA,35.8,NA,24.7,NA,9.65,"G",NA,1,1,0,0,0,0,3.2,3.8,84.3
"941280-99999","DOUGLAS RIVER","AS","AUSTRALIA","AU","AUS","",-13.833,131.183,44,19901024,20240909,2024-01-09,2024,1,9,9,27.6,24,25.6,24,1005.8,24,1000.8,24,NA,0,1.8,24,4.1,NA,33.7,NA,25.1,"*",7.11,"G",NA,0,0,0,0,0,0,3.3,3.7,88.9
"941280-99999","DOUGLAS RIVER","AS","AUSTRALIA","AU","AUS","",-13.833,131.183,44,19901024,20240909,2024-01-10,2024,1,10,10,27.9,24,25.4,24,1005.3,24,1000.3,24,NA,0,2.2,24,5.1,NA,33.1,NA,25,NA,5.33,"G",NA,0,1,0,0,0,0,3.2,3.8,86.3
