"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"945760-99999","BRISBANE","AS","AUSTRALIA","AU","AUS","",-27.483,153.033,8,19501231,20240909,2024-01-01,2024,1,1,1,21.8,24,20.4,24,1017.6,24,1016.6,24,NA,0,1.2,24,2.1,NA,24.1,"*",20.6,"*",33.27,"G",NA,1,1,0,0,0,0,2.4,2.6,91.8
"945760-99999","BRISBANE","AS","AUSTRALIA","AU","AUS","",-27.483,153.033,8,19501231,20240909,2024-01-02,2024,1,2,2,23.2,24,19.1,24,1015.1,24,1014.1,24,NA,0,1.9,24,3.6,NA,27.2,"*",20.4,NA,12.45,"G",NA,1,1,0,0,0,0,2.2,2.8,77.8
"945760-99999","BRISBANE","AS","AUSTRALIA","AU","AUS","",-27.483,153.033,8,19501231,20240909,2024-01-03,2024,1,3,3,26.1,24,19.9,24,1013.3,24,1012.3,24,NA,0,1.4,24,3.1,NA,30.5,"*",20.6,NA,0,"G",NA,0,0,0,0,0,0,2.3,3.4,68.7
"945760-99999","BRISBANE","AS","AUSTRALIA","AU","AUS","",-27.483,153.033,8,19501231,20240909,2024-01-04,2024,1,4,4,26.7,24,21.7,24,1013.7,24,1012.7,24,NA,0,1.3,24,3.1,NA,30.6,"*",22.5,NA,0,"I",NA,0,0,0,0,0,0,2.6,3.5,74.1
"945760-99999","BRISBANE","AS","AUSTRALIA","AU","AUS","",-27.483,153.033,8,19501231,20240909,2024-01-05,2024,1,5,5,26.2,24,19.5,24,1015.8,24,1014.8,24,NA,0,2.2,24,4.1,NA,30.5,"*",22.7,"*",0.25,"G",NA,0,0,0,0,0,0,2.3,3.4,66.6
"945760-99999","BRISBANE","AS","AUSTRALIA","AU","AUS","",-27.483,153.033,8,19501231,20240909,2024-01-06,2024,1,6,6,23.9,24,18,24,1017.4,24,1016.4,24,NA,0,2.2,24,4.1,NA,27.1,"*",21.2,"*",0.25,"G",NA,0,0,0,0,0,0,2.1,3,69.6
"945760-99999","BRISBANE","AS","AUSTRALIA","AU","AUS","",-27.483,153.033,8,19501231,20240909,2024-01-07,2024,1,7,7,24.3,24,20.2,24,1016.5,24,1015.5,24,NA,0,1.7,24,4.1,NA,28.2,"*",21.1,NA,4.32,"G",NA,0,1,0,0,0,0,2.4,3,77.9
"945760-99999","BRISBANE","AS","AUSTRALIA","AU","AUS","",-27.483,153.033,8,19501231,20240909,2024-01-08,2024,1,8,8,25.7,24,23.5,24,1013.7,24,1012.7,24,NA,0,0.9,24,3.1,NA,28.7,"*",21.7,NA,17.78,"G",NA,0,1,0,0,0,0,2.9,3.3,87.7
"945760-99999","BRISBANE","AS","AUSTRALIA","AU","AUS","",-27.483,153.033,8,19501231,20240909,2024-01-09,2024,1,9,9,26.4,22,23.4,22,1012.5,22,1011.5,22,NA,0,1.2,21,3.1,NA,29.8,"*",24,"*",0,"G",NA,0,0,0,0,0,0,2.9,3.4,83.6
"945760-99999","BRISBANE","AS","AUSTRALIA","AU","AUS","",-27.483,153.033,8,19501231,20240909,2024-01-10,2024,1,10,10,26.4,24,22.2,24,1013.7,24,1012.7,24,NA,0,1.5,24,3.6,NA,31.2,"*",22,"*",1.02,"G",NA,0,1,0,0,0,0,2.7,3.4,77.7
