"lat.x","lon.x","year","eventDate","scientificName","weather_station_id","stname","lat.y","lon.y","address","city","state"
-33.800584,151.295491,2024,2024-12-22 11:44:00,"Mobula alfredi","957680-99999","NORTH HEAD",-33.817,151.3,"North Head Sanctuary, North Fort Road, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2095, Australia","North Head Sanctuary","New South Wales"
-33.800117,151.296864,2024,2024-12-22 12:50:25,"Mobula alfredi","957680-99999","NORTH HEAD",-33.817,151.3,"North Head Sanctuary, North Fort Road, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2095, Australia","North Head Sanctuary","New South Wales"
-33.79972,151.294765,2024,2024-12-22 08:19:48,"Mobula alfredi","957680-99999","NORTH HEAD",-33.817,151.3,"North Head Sanctuary, North Fort Road, Northern Beaches, Sydney, Northern Beaches Council, New South Wales, 2095, Australia","North Head Sanctuary","New South Wales"
-28.873564,153.585691,2024,2024-11-06 11:52:00,"Mobula","945960-99999","BALLINA AIRPORT AWS",-28.833,153.55,"Southern Cross Drive, North Ballina, Ballina, Ballina Shire Council, New South Wales, 2478, Australia","Southern Cross Drive","New South Wales"
-28.612478,153.62886,2024,2024-02-03 08:59:11,"Mobula alfredi","945990-99999","CAPE BYRON AWS",-28.633,153.633,"Cape Byron Walking Track, Byron Bay, Byron Shire Council, New South Wales, 2481, Australia","Cape Byron Walking Track","New South Wales"
-28.611592,153.628972,2024,2024-04-04 12:35:00,"Mobula alfredi","945990-99999","CAPE BYRON AWS",-28.633,153.633,"Cape Byron Walking Track, Byron Bay, Byron Shire Council, New South Wales, 2481, Australia","Cape Byron Walking Track","New South Wales"
-28.6112,153.628317,2024,2024-02-02 09:34:20,"Mobula alfredi","945990-99999","CAPE BYRON AWS",-28.633,153.633,"Cape Byron Walking Track, Byron Bay, Byron Shire Council, New South Wales, 2481, Australia","Cape Byron Walking Track","New South Wales"
-28.276206,153.584042,2024,2024-01-04 07:15:56,"Mobula alfredi","945920-99999","GOLD COAST",-28.164,153.505,"Gold Coast Airport, Arthur Butler Parade, Bilinga, Gold Coast City, Queensland, 4225, Australia","Gold Coast Airport","Queensland"
-27.744762,153.453958,2024,2024-03-03 10:55:07,"Mobula alfredi","945800-99999","GOLD COAST SEAWAY",-27.933,153.433,"Federation Walk, Main Beach, Gold Coast City, Queensland, 4215, Australia","Federation Walk","Queensland"
-27.437737,153.546743,2024,2024-09-22 15:52:00,"Mobula alfredi","945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
-27.437529,153.546851,2024,2024-11-15 11:01:22,"Mobula alfredi","945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
-27.43749,153.546278,2024,2024-10-20 11:11:00,"Mobula alfredi","945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
-27.436587,153.546466,2024,2024-10-12 17:43:55,"Mobula alfredi","945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
-27.436389,153.547199,2024,2024-10-20 11:15:00,"Mobula alfredi","945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
-27.423744,153.548211,2024,2024-11-24 13:39:00,"Mobula alfredi","945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
-27.423698,153.547968,2024,2024-11-10 23:26:20,"Mobula alfredi","945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
-27.422781,153.548448,2024,2024-02-18 08:32:00,"Mobula alfredi","945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
-27.422003,153.548093,2024,2024-11-09 06:01:18,"Mobula alfredi","945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
-27.416666,153.55,2024,2024-12-03 13:56:01,"Mobula alfredi","945930-99999","POINT LOOKOUT",-27.433,153.55,"North Gorge Walk, Point Lookout, Greater Brisbane, Queensland, 4183, Australia","North Gorge Walk","Queensland"
-24.115257,152.708054,2024,2024-05-01 19:59:45,"Mobula alfredi","943880-99999","LADY ELLIOT ISLAND",-24.117,152.717,"Lady Elliot Island Resort, Noddy Lane, Lady Elliot Island, Coral Sea, Gladstone Regional, Queensland, Australia","Lady Elliot Island Resort","Queensland"
-24.114085,152.708893,2024,2024-08-08 16:31:00,"Mobula alfredi","943880-99999","LADY ELLIOT ISLAND",-24.117,152.717,"Lady Elliot Island Resort, Noddy Lane, Lady Elliot Island, Coral Sea, Gladstone Regional, Queensland, Australia","Lady Elliot Island Resort","Queensland"
-24.113922,152.70946,2024,2024-02-21 17:58:00,"Mobula alfredi","943880-99999","LADY ELLIOT ISLAND",-24.117,152.717,"Lady Elliot Island Resort, Noddy Lane, Lady Elliot Island, Coral Sea, Gladstone Regional, Queensland, Australia","Lady Elliot Island Resort","Queensland"
-24.113922,152.70946,2024,2024-02-21 17:58:00,"Mobula alfredi","943880-99999","LADY ELLIOT ISLAND",-24.117,152.717,"Lady Elliot Island Resort, Noddy Lane, Lady Elliot Island, Coral Sea, Gladstone Regional, Queensland, Australia","Lady Elliot Island Resort","Queensland"
-24.11288,152.714019,2024,2024-07-17 12:10:00,"Mobula alfredi","943880-99999","LADY ELLIOT ISLAND",-24.117,152.717,"Lady Elliot Island Resort, Noddy Lane, Lady Elliot Island, Coral Sea, Gladstone Regional, Queensland, Australia","Lady Elliot Island Resort","Queensland"
