"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-01,2024,1,1,1,18.5,24,15.2,24,1017.5,24,958.5,24,NA,0,1.2,24,2.6,NA,25.2,"*",9.3,NA,0,"G",NA,0,0,0,0,0,0,1.7,2.1,81.1
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-02,2024,1,2,2,19.1,24,16.1,24,1014.7,24,955.9,24,NA,0,2,24,7.2,NA,27.8,NA,13.8,NA,15.49,"G",NA,0,1,0,0,0,0,1.8,2.2,82.8
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-03,2024,1,3,3,18,24,17.2,24,1016,24,957.1,24,NA,0,1.3,24,2.6,NA,25.3,NA,14.3,"*",1.52,"G",NA,0,0,0,0,0,0,2,2.1,95.1
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-04,2024,1,4,4,17.1,24,16.4,24,1019.7,24,960.6,24,NA,0,2.2,24,4.6,NA,21.7,"*",14.1,NA,0.25,"G",NA,0,0,0,0,0,0,1.9,1.9,95.7
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-05,2024,1,5,5,19,24,16.1,24,1019.1,24,960.1,24,NA,0,1.6,24,4.1,NA,23.9,"*",13.9,NA,0,"G",NA,0,0,0,0,0,0,1.8,2.2,83.3
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-06,2024,1,6,6,23.3,24,16.1,24,1014.2,24,955.4,24,NA,0,2,24,3.6,NA,27.9,"*",14.6,NA,0.25,"G",NA,0,0,0,0,0,0,1.8,2.9,64
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-07,2024,1,7,7,18.4,24,17.9,24,1008.2,24,949.8,24,NA,0,2.1,24,5.1,NA,21.3,"*",17.2,"*",77.72,"G",NA,0,1,0,0,0,0,2,2.1,96.9
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-08,2024,1,8,8,15.4,24,15.3,24,1011.4,24,952.8,24,NA,0,2.7,24,4.6,NA,17.3,"*",12.5,"*",46.74,"G",NA,0,1,0,0,0,0,1.7,1.7,99.4
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-09,2024,1,9,9,18.7,24,16,24,1011.8,24,953.2,24,NA,0,1,24,2.6,NA,22.8,NA,12.4,NA,0.51,"G",NA,0,0,0,0,0,0,1.8,2.2,84.3
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-10,2024,1,10,10,16.4,24,14.4,24,1016.7,24,957.8,24,NA,0,1.9,24,3.1,NA,23.9,"*",12.1,"*",0,"G",NA,0,0,0,0,0,0,1.6,1.9,88
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-11,2024,1,11,11,17.4,24,14.6,24,1019.2,24,960.2,24,NA,0,2.4,24,4.1,NA,23.1,"*",11.9,NA,0,"G",NA,0,0,0,0,0,0,1.7,2,83.6
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-12,2024,1,12,12,21.6,24,13.2,24,1016.8,24,957.9,24,NA,0,1.4,24,2.6,NA,31.3,NA,13.2,NA,0.25,"G",NA,0,0,0,0,0,0,1.5,2.6,58.8
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-13,2024,1,13,13,13.3,24,12.8,24,1020,24,960.9,24,NA,0,2,24,2.6,NA,21.3,NA,11.3,"*",1.27,"G",NA,0,1,0,0,0,0,1.5,1.5,96.8
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-14,2024,1,14,14,17.2,24,14.7,24,1019.5,24,960.4,24,NA,0,3.5,24,6.2,NA,22.2,NA,11.1,NA,0,"G",NA,0,0,0,0,0,0,1.7,2,85.2
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-15,2024,1,15,15,20.6,24,14.8,24,1015.9,24,957,24,NA,0,2.1,24,3.6,NA,25.4,NA,14,NA,6.6,"G",NA,0,1,0,0,0,0,1.7,2.4,69.4
"948720-99999","FERNY CREEK","AS","AUSTRALIA","AU","AUS","",-37.867,145.333,561,19941001,20240909,2024-01-16,2024,1,16,16,21.9,24,14.3,24,1007.4,24,949,24,NA,0,2.6,24,4.6,NA,27.1,NA,16.8,"*",3.3,"G",NA,0,1,0,0,0,0,1.6,2.6,62
