"lat.x","lon.x","year","eventDate","scientificName","weather_station_id","stname","lat.y","lon.y","address","city","state"
-43.270144,147.348376,2024,2024-02-06 16:24:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.270144,147.348376,2024,2024-02-04 19:20:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.270144,147.348376,2024,2024-02-05 09:40:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.270144,147.348376,2024,2024-02-17 20:39:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.270144,147.348376,2024,2024-02-12 21:56:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.270144,147.348376,2024,2024-02-17 20:39:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.270144,147.348376,2024,2024-01-04 22:00:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.270144,147.348376,2024,2024-02-16 22:01:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.270144,147.348376,2024,2024-02-15 21:02:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.270144,147.348376,2024,2024-02-06 20:25:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.270144,147.348376,2024,2024-02-17 20:39:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.269439,147.348866,2024,2024-03-18 17:53:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
-43.248396,147.27719,2024,2024-04-01 15:09:00,"Eudyptula minor","949880-99999","DENNES POINT",-43.067,147.35,"Nebraska Road, Dennes Point, Kingborough, Tasmania, 7150, Australia","Nebraska Road","Tasmania"
