"lat","lon","year","eventDate","scientificName"
-43.366875,147.336967,2024,2024-07-26,"Ornithorhynchus anatinus"
-43.181812,147.160406,2024,2024-10-15,"Ornithorhynchus anatinus"
-43.179293,147.162917,2024,2024-10-15,"Ornithorhynchus anatinus"
-43.174422,146.918283,2024,2024-12-31,"Ornithorhynchus anatinus"
-43.172911,146.920215,2024,2024-10-12,"Ornithorhynchus anatinus"
-43.1661,146.9231,2024,2024-01-08 21:02:13,"Ornithorhynchus anatinus"
-43.165293,146.926584,2024,2024-11-03 09:57:27,"Ornithorhynchus anatinus"
-43.162212,146.925385,2024,2024-01-03,"Ornithorhynchus anatinus"
-43.160768,147.044908,2024,2024-10-03,"Ornithorhynchus anatinus"
-43.156618,147.075162,2024,2024-01-12 09:17:00,"Ornithorhynchus anatinus"
-43.155782,147.232547,2024,2024-10-23,"Ornithorhynchus anatinus"
-43.1521,147.15045,2024,2024-10-13,"Ornithorhynchus anatinus"
-43.148718,147.151566,2024,2024-09-14,"Ornithorhynchus anatinus"
-43.13173,147.05683,2024,2024-06-25,"Ornithorhynchus anatinus"
-43.126283,147.09429,2024,2024-10-18,"Ornithorhynchus anatinus"
-43.123039,147.223706,2024,2024-10-27,"Ornithorhynchus anatinus"
-43.1106,147.2596,2024,2024-10-08,"Ornithorhynchus anatinus"
-43.0851,147.0109,2024,2024-12-01,"Ornithorhynchus anatinus"
-43.050325,147.105217,2024,2024-08-07,"Ornithorhynchus anatinus"
-43.0502,147.106419,2024,2024-08-24,"Ornithorhynchus anatinus"
-43.04882,147.105389,2024,2024-08-05,"Ornithorhynchus anatinus"
-43.032776,146.977952,2024,2024-09-19,"Ornithorhynchus anatinus"
-43.031311,147.045169,2024,2024-10-01,"Ornithorhynchus anatinus"
-43.0243,147.2474,2024,2024-05-23,"Ornithorhynchus anatinus"
-43.002003,147.210628,2024,2024-03-01,"Ornithorhynchus anatinus"
-42.985778,147.110838,2024,2024-09-05,"Ornithorhynchus anatinus"
