"lat.x","lon.x","year","eventDate","scientificName","weather_station_id","stname","lat.y","lon.y","address","city","state"
-43.366875,147.336967,2024,2024-07-26,"Ornithorhynchus anatinus","959670-99999","CAPE BRUNY (CAPE BRUNY)",-43.483,147.15,"Lighthouse Road, South Bruny, Kingborough, Tasmania, 7150, Australia","Lighthouse Road","Tasmania"
-43.181812,147.160406,2024,2024-10-15,"Ornithorhynchus anatinus","949610-99999","DOVER",-43.317,147.017,"Bay View Road, Dover, Huon Valley, Tasmania, 7117, Australia","Bay View Road","Tasmania"
-43.179293,147.162917,2024,2024-10-15,"Ornithorhynchus anatinus","949610-99999","DOVER",-43.317,147.017,"Bay View Road, Dover, Huon Valley, Tasmania, 7117, Australia","Bay View Road","Tasmania"
-43.174422,146.918283,2024,2024-12-31,"Ornithorhynchus anatinus","949770-99999","HARTZ MOUNTAINS",-43.2,146.767,"Keoghs Pimple Track, Huon Valley, Tasmania, Australia","Keoghs Pimple Track","Tasmania"
-43.172911,146.920215,2024,2024-10-12,"Ornithorhynchus anatinus","949770-99999","HARTZ MOUNTAINS",-43.2,146.767,"Keoghs Pimple Track, Huon Valley, Tasmania, Australia","Keoghs Pimple Track","Tasmania"
-43.1661,146.9231,2024,2024-01-08 21:02:13,"Ornithorhynchus anatinus","949770-99999","HARTZ MOUNTAINS",-43.2,146.767,"Keoghs Pimple Track, Huon Valley, Tasmania, Australia","Keoghs Pimple Track","Tasmania"
-43.165293,146.926584,2024,2024-11-03 09:57:27,"Ornithorhynchus anatinus","949770-99999","HARTZ MOUNTAINS",-43.2,146.767,"Keoghs Pimple Track, Huon Valley, Tasmania, Australia","Keoghs Pimple Track","Tasmania"
-43.162212,146.925385,2024,2024-01-03,"Ornithorhynchus anatinus","949770-99999","HARTZ MOUNTAINS",-43.2,146.767,"Keoghs Pimple Track, Huon Valley, Tasmania, Australia","Keoghs Pimple Track","Tasmania"
-43.160768,147.044908,2024,2024-10-03,"Ornithorhynchus anatinus","949610-99999","DOVER",-43.317,147.017,"Bay View Road, Dover, Huon Valley, Tasmania, 7117, Australia","Bay View Road","Tasmania"
-43.156618,147.075162,2024,2024-01-12 09:17:00,"Ornithorhynchus anatinus","949610-99999","DOVER",-43.317,147.017,"Bay View Road, Dover, Huon Valley, Tasmania, 7117, Australia","Bay View Road","Tasmania"
