"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-01,2024,1,1,1,21.8,24,21,21,1016.6,24,1010.4,24,NA,0,0.9,24,2.6,NA,26.2,"*",20.5,"*",87.12,"G",NA,1,1,0,0,0,0,2.5,2.6,95.2
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-02,2024,1,2,2,21.9,24,20.7,24,1014.2,24,1008,24,NA,0,1.3,24,2.6,NA,26.5,"*",20.4,NA,68.83,"G",NA,1,1,0,0,0,0,2.4,2.6,92.9
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-03,2024,1,3,3,25.4,24,20.3,24,1013.2,24,1007,24,NA,0,1,24,2.1,NA,28.7,"*",20.8,NA,0,"G",NA,0,0,0,0,0,0,2.4,3.2,73.4
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-04,2024,1,4,4,25.6,24,22,22,1013.5,24,1007.3,24,NA,0,0.9,24,2.6,NA,29,"*",22.1,NA,0,"I",NA,0,0,0,0,0,0,2.6,3.3,80.5
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-05,2024,1,5,5,24.8,24,21,24,1015.4,24,1009.2,24,NA,0,1.5,23,3.1,NA,28.5,"*",21.2,"*",6.1,"G",NA,1,0,0,0,0,0,2.5,3.1,79.4
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-06,2024,1,6,6,22.2,24,20.1,24,1016.7,24,1010.5,24,NA,0,2.2,6,2.6,NA,26,"*",20.1,"*",18.29,"G",NA,0,1,0,0,0,0,2.3,2.7,87.9
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-07,2024,1,7,7,23.7,24,21.6,22,1015.9,24,1009.7,24,NA,0,0.3,18,1,NA,27,"*",19.9,NA,8.13,"G",NA,0,1,0,0,0,0,2.6,2.9,88
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-08,2024,1,8,8,25.3,24,23.3,23,1013.5,24,1007.3,24,NA,0,1,24,3.6,NA,29,"*",21.7,NA,8.13,"G",NA,1,1,0,0,0,0,2.9,3.2,88.7
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-09,2024,1,9,9,24.9,24,22.7,24,1012.6,24,1006.4,24,NA,0,0.8,24,3.1,NA,29,NA,21.7,"*",0.51,"G",NA,0,1,0,0,0,0,2.8,3.1,87.6
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-10,2024,1,10,10,25.1,24,22.4,22,1013.5,24,1007.3,24,NA,0,1.1,24,4.1,NA,29.6,"*",20.5,"*",2.79,"G",NA,1,1,0,0,0,0,2.7,3.2,85
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-11,2024,1,11,11,25,24,20.2,24,1015.3,24,1009,24,NA,0,1.6,24,4.1,NA,29.5,"*",20.3,NA,1.02,"G",NA,0,1,0,0,0,0,2.4,3.2,74.7
"955720-99999","NAMBOUR DPI-HILLSIDE","AS","AUSTRALIA","AU","AUS","",-26.65,152.933,33,19650103,20240909,2024-01-12,2024,1,12,12,24.4,24,22.8,24,1013.7,24,1007.5,24,NA,0,1.1,24,3.6,NA,27.1,"*",21.4,NA,41.91,"G",NA,1,1,0,0,0,0,2.8,3.1,90.8
