"lat","lon","year","eventDate","scientificName"
-25,31.6,2024,2024-06-02 12:38:00,"Crocodylus"
-25,31.6,2024,2024-06-01 17:14:00,"Crocodylus"
-24.4,31.5,2024,2024-06-06 12:43:00,"Crocodylus"
-20.789455,139.79198,2024,2024-01-04 11:22:54,"Crocodylus johnstoni"
-20.608077,139.551481,2024,2024-03-07 21:22:00,"Crocodylus johnstoni"
-20.421072,148.64868,2024,2024-10-01 15:34:31,"Crocodylus porosus"
-20.4208,148.649131,2024,2024-07-23 09:29:00,"Crocodylus porosus"
-20.42058,148.648523,2024,2024-05-30 14:51:00,"Crocodylus porosus"
-20.420389,148.649447,2024,2024-08-08 11:29:15,"Crocodylus porosus"
-20.420237,148.650633,2024,2024-07-24 08:24:00,"Crocodylus porosus"
-20.419134,148.645965,2024,2024-07-25 11:43:00,"Crocodylus porosus"
-20.416959,148.645973,2024,2024-04-27 10:44:00,"Crocodylus porosus"
-20.41679,148.647,2024,2024-04-27 10:53:00,"Crocodylus porosus"
-20.416749,148.648265,2024,2024-04-27 10:54:00,"Crocodylus porosus"
-20.416431,148.64951,2024,2024-04-27 10:57:00,"Crocodylus porosus"
-20.412632,148.649776,2024,2024-04-27 12:35:00,"Crocodylus porosus"
-20.41224,148.650187,2024,2024-04-27 12:31:00,"Crocodylus porosus"
-20.411765,148.648243,2024,2024-04-27 11:02:00,"Crocodylus porosus"
-20.411444,148.646484,2024,2024-04-27 11:07:00,"Crocodylus porosus"
-20.411264,148.647636,2024,2024-04-27 12:22:00,"Crocodylus porosus"
-20.410875,148.64598,2024,2024-04-27 12:18:00,"Crocodylus porosus"
-20.408828,148.64699,2024,2024-04-27 11:22:00,"Crocodylus porosus"
-20.407725,148.645189,2024,2024-04-27 12:17:00,"Crocodylus porosus"
-20.407111,148.644939,2024,2024-04-27 11:27:00,"Crocodylus porosus"
-20.406478,148.643988,2024,2024-04-27 12:10:00,"Crocodylus porosus"
-20.405693,148.643822,2024,2024-04-27 11:57:00,"Crocodylus porosus"
-20.402572,148.644509,2024,2024-04-27 11:36:00,"Crocodylus porosus"
-20.388635,148.620919,2024,2024-05-06 09:56:05,"Crocodylus porosus"
-19.688887,139.356888,2024,2024-10-07 07:35:40,"Crocodylus johnstoni"
-19.6,23.3,2024,2024-07-29 17:19:00,"Crocodylus"
-19.395716,146.730702,2024,2024-09-07 22:41:00,"Crocodylus johnstoni"
-19.37452,146.906155,2024,2024-07-18 10:24:19,"Crocodylus johnstoni"
-19.372948,146.734236,2024,2024-01-18 08:14:23,"Crocodylus johnstoni"
-19.34202,146.739057,2024,2024-07-18 15:55:46,"Crocodylus johnstoni"
-19.321525,146.733428,2024,2024-09-19 09:20:07,"Crocodylus johnstoni"
-19.318071,146.746076,2024,2024-07-15 08:00:00,"Crocodylus johnstoni"
-19.317365,146.735068,2024,2024-06-28 23:40:00,"Crocodylus johnstoni"
-19.316867,146.735724,2024,2024-08-09 10:34:43,"Crocodylus johnstoni"
-19.316862,146.735703,2024,2024-06-29 00:46:00,"Crocodylus johnstoni"
-19.315446,146.752122,2024,2024-08-31 21:22:00,"Crocodylus johnstoni"
-19.315223,146.753882,2024,2024-01-18 07:51:20,"Crocodylus johnstoni"
-19.307141,146.764363,2024,2024-09-27 07:11:46,"Crocodylus johnstoni"
-19.303923,146.781266,2024,2024-03-10 14:49:12,"Crocodylus porosus"
-19.29858,146.804122,2024,2024-08-02 11:59:38,"Crocodylus johnstoni"
-19.290808,146.823369,2024,2024-08-10 13:37:21,"Crocodylus porosus"
-19.290355,146.825622,2024,2024-08-10 13:37:02,"Crocodylus porosus"
-19.290121,146.82181,2024,2024-08-10 11:18:05,"Crocodylus porosus"
-19.290003,146.826112,2024,2024-08-10 13:33:12,"Crocodylus porosus"
-19.205025,146.744737,2024,2024-08-15 13:56:24,"Crocodylus porosus"
-19.035706,144.12335,2024,2024-09-23 10:14:00,"Crocodylus johnstoni"
-18.817917,143.406263,2024,2024-07-27 14:31:35,"Crocodylus johnstoni"
-18.816374,143.406265,2024,2024-07-24 15:18:00,"Crocodylus johnstoni"
-18.815558,143.40622,2024,2024-10-14 17:25:49,"Crocodylus johnstoni"
-18.81541,143.406453,2024,2024-04-16 13:16:00,"Crocodylus johnstoni"
-18.815222,143.406604,2024,2024-04-16 12:18:00,"Crocodylus johnstoni"
-18.81498,143.40663,2024,2024-08-13 15:03:18,"Crocodylus johnstoni"
-18.814928,143.406692,2024,2024-05-03 20:44:09,"Crocodylus johnstoni"
-18.814569,143.410723,2024,2024-08-12 11:34:07,"Crocodylus johnstoni"
-18.813775,143.407137,2024,2024-08-14 08:58:57,"Crocodylus johnstoni"
-18.736688,146.140092,2024,2024-09-04 16:12:50,"Crocodylus porosus"
-18.727863,144.31215,2024,2024-12-04 13:27:44,"Crocodylus johnstoni"
-18.712132,146.260351,2024,2024-10-23 16:51:16,"Crocodylus porosus"
-18.710674,146.222458,2024,2024-09-14 00:13:00,"Crocodylus porosus"
-18.65537,146.148592,2024,2024-06-05 23:48:37,"Crocodylus porosus"
-18.654906,146.14865,2024,2024-06-10 13:18:19,"Crocodylus porosus"
-18.654254,146.152499,2024,2024-05-20 19:11:00,"Crocodylus porosus"
-18.278788,146.048675,2024,2024-04-20 16:15:48,"Crocodylus porosus"
-18.221092,139.878125,2024,2024-05-10 13:13:00,"Crocodylus johnstoni"
-18.221092,139.878125,2024,2024-05-10 14:17:00,"Crocodylus johnstoni"
-17.987863,146.065353,2024,2024-08-15 14:10:09,"Crocodylus porosus"
-17.958738,146.061431,2024,2024-06-01 15:03:00,"Crocodylus porosus"
-17.926622,146.097747,2024,2024-10-06 08:46:51,"Crocodylus porosus"
-17.7,123.4,2024,2024-10-25 22:09:13,"Crocodylus johnstoni"
-17.7,122.3,2024,2024-09-08 12:35:00,"Crocodylus porosus"
-17.509729,146.065486,2024,2024-05-18 16:23:26,"Crocodylus porosus"
-17.5,124.8,2024,2024-07-01 09:23:02,"Crocodylus johnstoni"
-17.5,124.8,2024,2024-06-25 10:26:00,"Crocodylus johnstoni"
-17.5,124.9,2024,2024-08-23 11:31:00,"Crocodylus johnstoni"
-17.5,124.8,2024,2024-06-25 10:26:00,"Crocodylus johnstoni"
-17.287469,145.629872,2024,2024-06-01 16:29:35,"Crocodylus johnstoni"
-17.287436,145.629191,2024,2024-07-07 15:00:00,"Crocodylus johnstoni"
-17.285875,145.621658,2024,2024-08-07 10:55:36,"Crocodylus johnstoni"
-17.285775,145.621998,2024,2024-08-13 14:04:00,"Crocodylus johnstoni"
-17.285708,145.621645,2024,2024-05-28 13:12:55,"Crocodylus johnstoni"
-17.285403,145.622009,2024,2024-09-09 15:55:00,"Crocodylus johnstoni"
-17.22667,145.952507,2024,2024-06-07 11:11:37,"Crocodylus porosus"
-17.225349,145.95753,2024,2024-08-03 18:24:00,"Crocodylus porosus"
-17.042686,144.522009,2024,2024-12-28 11:28:09,"Crocodylus johnstoni"
-17.026445,131.13764,2024,2024-09-25 22:18:00,"Crocodylus porosus"
-16.926844,145.704834,2024,2024-12-07 09:32:06,"Crocodylus porosus"
-16.9,122.2,2024,2024-09-08 16:17:00,"Crocodylus porosus"
-16.874109,145.674489,2024,2024-08-19 12:49:56,"Crocodylus porosus"
-16.832737,145.702592,2024,2024-05-27 15:04:30,"Crocodylus porosus"
-16.831865,145.704239,2024,2024-07-21 11:56:00,"Crocodylus porosus"
-16.831791,145.701802,2024,2024-11-13 21:16:00,"Crocodylus porosus"
-16.831705,145.704042,2024,2024-05-27 14:48:45,"Crocodylus porosus"
-16.824944,145.641694,2024,2024-09-19 15:00:39,"Crocodylus johnstoni"
-16.824874,145.64219,2024,2024-08-24 12:53:44,"Crocodylus johnstoni"
-16.824749,145.642157,2024,2024-07-17 14:35:13,"Crocodylus johnstoni"
-16.824192,145.641231,2024,2024-08-29 11:32:53,"Crocodylus johnstoni"
-16.82397,145.641328,2024,2024-06-29 14:42:38,"Crocodylus johnstoni"
-16.820892,145.641874,2024,2024-08-30 12:09:00,"Crocodylus johnstoni"
-16.819313,145.641649,2024,2024-12-11 11:33:00,"Crocodylus johnstoni"
-16.819252,145.635979,2024,2024-08-14 17:09:00,"Crocodylus johnstoni"
-16.818901,145.632672,2024,2024-10-04 12:40:00,"Crocodylus johnstoni"
-16.817153,145.639324,2024,2024-11-24 11:25:44,"Crocodylus johnstoni"
-16.816885,145.63768,2024,2024-10-13 19:03:37,"Crocodylus"
-16.8,122.1,2024,2024-09-08 14:48:16,"Crocodylus porosus"
-16.799718,145.547748,2024,2024-10-12 12:08:00,"Crocodylus johnstoni"
-16.739735,145.671676,2024,2024-03-09 13:22:30,"Crocodylus porosus"
-16.739558,145.671495,2024,2024-03-09 13:22:29,"Crocodylus porosus"
-16.554201,145.480444,2024,2024-07-28 09:52:00,"Crocodylus porosus"
-16.554093,145.480582,2024,2024-07-29 08:29:00,"Crocodylus porosus"
-16.554081,145.480706,2024,2024-06-29 08:13:00,"Crocodylus porosus"
-16.554044,145.480682,2024,2024-08-27 08:01:00,"Crocodylus porosus"
-16.55397,145.480889,2024,2024-07-17 12:32:00,"Crocodylus porosus"
-16.55394,145.480992,2024,2024-07-24 16:26:00,"Crocodylus porosus"
-16.553804,145.481563,2024,2024-07-24 18:39:53,"Crocodylus porosus"
-16.55372,145.48103,2024,2024-06-29 09:09:00,"Crocodylus porosus"
-16.553625,145.481748,2024,2024-08-30 09:38:00,"Crocodylus porosus"
-16.55361,145.481698,2024,2024-07-07 15:43:25,"Crocodylus porosus"
-16.553492,145.481589,2024,2024-10-16 14:38:00,"Crocodylus porosus"
-16.553308,145.481872,2024,2024-07-21 13:26:21,"Crocodylus porosus"
-16.553238,145.481872,2024,2024-07-28 11:08:02,"Crocodylus porosus"
-16.553119,145.481814,2024,2024-06-14 10:45:05,"Crocodylus porosus"
-16.553036,145.481721,2024,2024-07-23 12:31:00,"Crocodylus porosus"
-16.553036,145.481721,2024,2024-07-23 12:38:00,"Crocodylus porosus"
-16.553036,145.481721,2024,2024-07-23 12:31:00,"Crocodylus porosus"
-16.553016,145.481689,2024,2024-06-27 09:42:58,"Crocodylus porosus"
-16.552977,145.481726,2024,2024-08-01 09:37:00,"Crocodylus porosus"
-16.552963,145.48173,2024,2024-07-29 11:11:19,"Crocodylus porosus"
-16.552959,145.481783,2024,2024-07-07 15:52:31,"Crocodylus porosus"
-16.552922,145.481628,2024,2024-10-07 16:08:51,"Crocodylus porosus"
-16.551871,145.481335,2024,2024-11-06 09:45:00,"Crocodylus porosus"
-16.525734,145.46676,2024,2024-07-06 12:46:40,"Crocodylus porosus"
-16.525383,145.466679,2024,2024-06-29 10:36:00,"Crocodylus porosus"
-16.525162,145.466594,2024,2024-06-29 09:33:00,"Crocodylus porosus"
-16.514933,145.462188,2024,2024-07-09 12:02:36,"Crocodylus porosus"
-16.51132,145.45461,2024,2024-12-07 17:20:00,"Crocodylus porosus"
-16.507113,145.455017,2024,2024-02-29 14:57:32,"Crocodylus porosus"
-16.501153,145.46347,2024,2024-02-29 15:11:44,"Crocodylus porosus"
-16.495176,145.464294,2024,2024-07-05 11:22:30,"Crocodylus porosus"
-16.494267,145.456161,2024,2024-07-05 11:37:59,"Crocodylus porosus"
-16.48463,145.466467,2024,2024-05-04 10:58:30,"Crocodylus porosus"
-16.39645,145.393509,2024,2024-03-13 16:20:04,"Crocodylus porosus"
-16.334387,145.411171,2024,2024-09-06 18:06:00,"Crocodylus porosus"
-16.310903,145.457588,2024,2024-09-06 17:54:00,"Crocodylus porosus"
-16.302438,145.230887,2024,2024-03-13 16:32:45,"Crocodylus porosus"
-16.3,145.4,2024,2024-12-20 15:03:00,"Crocodylus porosus"
-16.3,145.4,2024,2024-12-21 13:33:00,"Crocodylus porosus"
-16.3,128.6,2024,2024-06-06 07:43:00,"Crocodylus johnstoni"
-16.298434,145.229663,2024,2024-05-11 14:51:50,"Crocodylus porosus"
-16.287806,145.231446,2024,2024-06-25 14:24:13,"Crocodylus porosus"
-16.265964,145.402868,2024,2024-06-29 12:23:00,"Crocodylus porosus"
-16.264262,145.37375,2024,2024-04-20 13:28:07,"Crocodylus porosus"
-16.263919,145.374283,2024,2024-05-25 10:26:00,"Crocodylus porosus"
-16.263883,145.372397,2024,2024-01-21 15:20:49,"Crocodylus porosus"
-16.263371,145.385987,2024,2024-05-28 17:48:00,"Crocodylus porosus"
-16.263211,145.381883,2024,2024-09-07 12:46:00,"Crocodylus porosus"
-16.263187,145.387192,2024,2024-06-30 13:47:48,"Crocodylus porosus"
-16.263144,145.385843,2024,2024-09-07 12:39:00,"Crocodylus porosus"
-16.263133,145.382338,2024,2024-10-08 12:24:21,"Crocodylus porosus"
-16.26312,145.381547,2024,2024-06-20 16:13:31,"Crocodylus porosus"
-16.263112,145.380583,2024,2024-07-20 14:26:41,"Crocodylus porosus"
-16.263112,145.381317,2024,2024-06-28 11:23:30,"Crocodylus porosus"
-16.263097,145.381697,2024,2024-06-20 16:09:57,"Crocodylus porosus"
-16.263093,145.375873,2024,2024-05-29 10:18:00,"Crocodylus porosus"
