"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-01,2024,1,1,1,30.2,24,24.4,24,1008.6,9,1005.2,9,16.1,23,3.9,24,11.8,18,35.3,NA,25,"*",0,"G",NA,0,1,0,0,1,0,3.1,4.3,71.2
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-02,2024,1,2,2,30,24,24,24,1008.5,9,1005,9,15.8,23,2.8,24,8.2,NA,35.6,NA,25,"*",12.45,"G",NA,0,1,0,0,1,0,3,4.2,70.3
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-03,2024,1,3,3,28.4,24,24.2,24,1009.8,10,1006.3,10,16.7,23,2.3,24,3.6,NA,33.3,NA,25,"*",5.08,"G",NA,0,1,0,0,1,0,3,3.9,78
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-04,2024,1,4,4,30.3,24,23.9,24,1009.6,9,1006.1,9,16.1,23,2.8,24,6.2,NA,35.3,NA,25.3,NA,0,"G",NA,0,1,0,0,1,0,3,4.3,68.7
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-05,2024,1,5,5,30.7,24,25.2,24,1009.4,9,1005.9,9,16.1,23,2.8,24,4.6,NA,35.2,NA,25.9,NA,0.25,"G",NA,0,1,0,0,1,0,3.2,4.4,72.6
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-06,2024,1,6,6,30.1,24,24.8,24,1008.7,9,1005.2,9,15.9,23,3.1,24,6.7,NA,35.1,NA,26.8,"*",1.27,"G",NA,0,1,0,0,1,0,3.1,4.3,73.3
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-07,2024,1,7,7,28.6,24,24.9,24,1008.5,9,1005,9,16.1,23,2.5,24,7.7,NA,32.5,NA,26,"*",0,"G",NA,0,0,0,0,1,0,3.1,3.9,80.4
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-08,2024,1,8,8,29.1,24,25.2,24,1007.4,9,1003.9,9,14.6,23,2.9,24,7.2,NA,34.3,NA,26,"*",2.54,"G",NA,0,1,0,0,0,0,3.2,4,79.5
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-09,2024,1,9,9,27.9,24,25.1,24,1006.2,9,1002.7,9,14.5,23,2.9,24,7.7,NA,30,"*",26,NA,6.1,"G",NA,0,1,0,0,1,0,3.2,3.8,84.8
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-10,2024,1,10,10,28.1,24,25.1,24,1005.7,9,1002.2,9,14.8,23,2.4,24,5.7,NA,30.6,NA,25,"*",7.62,"G",NA,0,1,0,0,1,0,3.2,3.8,83.8
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-11,2024,1,11,11,26.4,24,24.8,24,1004.7,9,1001.2,9,13,23,2.7,24,9.8,11.3,29.1,NA,24,"*",69.09,"G",NA,0,1,1,0,1,0,3.1,3.4,90.9
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-12,2024,1,12,12,28,24,25.5,24,1003.3,9,999.8,9,14.5,23,5.7,24,11.8,14.9,30.6,NA,24.3,NA,37.08,"G",NA,0,1,1,0,1,0,3.3,3.8,86.3
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-13,2024,1,13,13,28.2,24,25.7,24,1002.2,9,998.7,9,12.1,22,6.1,24,9.8,14.9,32,"*",25.9,NA,36.32,"G",NA,0,1,0,0,1,0,3.3,3.8,86.3
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-14,2024,1,14,14,27.7,24,25.3,24,1001.5,9,998,9,11.7,23,10.6,24,16,21.1,31,"*",25.7,"*",26.92,"G",NA,0,1,1,0,0,0,3.2,3.7,86.8
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-15,2024,1,15,15,29,24,25.4,24,1000.3,9,996.8,9,11.4,23,10.9,24,16,20.6,30.4,NA,25.6,NA,11.43,"G",NA,0,1,0,0,0,0,3.2,4,81
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-16,2024,1,16,16,28.4,24,25,24,1001.2,9,997.7,9,11.7,23,9.9,24,17,23.7,30.3,NA,25,"*",14.22,"G",NA,0,1,0,0,0,0,3.2,3.9,81.9
"941200-99999","DARWIN INTL","AS","AUSTRALIA","AU","AUS","",-12.415,130.877,31.39,19410131,20240909,2024-01-17,2024,1,17,17,29.6,24,25.1,24,1002.3,9,998.8,9,14.3,23,9.6,24,11.8,18.5,31.6,NA,24.6,NA,0.25,"G",NA,0,1,0,0,0,0,3.2,4.1,76.8
