"lat.x","lon.x","year","eventDate","scientificName","weather_station_id","stname","lat.y","lon.y","address","city","state"
-33.18368,137.00382,2024,2024-03-30,"Moloch horridus","956640-99999","WHYALLA",-33.059,137.514,"Whyalla Airport, Lincoln Highway, Whyalla Stuart, The Corporation of the City of Whyalla, South Australia, 5608, Australia","Whyalla Airport","South Australia"
-33.174197,136.982992,2024,2024-03-30 14:46:00,"Moloch horridus","956640-99999","WHYALLA",-33.059,137.514,"Whyalla Airport, Lincoln Highway, Whyalla Stuart, The Corporation of the City of Whyalla, South Australia, 5608, Australia","Whyalla Airport","South Australia"
-33.17029,137.06769,2024,2024-03-30,"Moloch horridus","956640-99999","WHYALLA",-33.059,137.514,"Whyalla Airport, Lincoln Highway, Whyalla Stuart, The Corporation of the City of Whyalla, South Australia, 5608, Australia","Whyalla Airport","South Australia"
-33.16941,137.06784,2024,2024-04-01,"Moloch horridus","956640-99999","WHYALLA",-33.059,137.514,"Whyalla Airport, Lincoln Highway, Whyalla Stuart, The Corporation of the City of Whyalla, South Australia, 5608, Australia","Whyalla Airport","South Australia"
-33.16941,137.06784,2024,2024-03-30,"Moloch horridus","956640-99999","WHYALLA",-33.059,137.514,"Whyalla Airport, Lincoln Highway, Whyalla Stuart, The Corporation of the City of Whyalla, South Australia, 5608, Australia","Whyalla Airport","South Australia"
-33.16347,137.07936,2024,2024-03-29,"Moloch horridus","956640-99999","WHYALLA",-33.059,137.514,"Whyalla Airport, Lincoln Highway, Whyalla Stuart, The Corporation of the City of Whyalla, South Australia, 5608, Australia","Whyalla Airport","South Australia"
-33.064384,137.180185,2024,2024-03-29 15:28:00,"Moloch horridus","956640-99999","WHYALLA",-33.059,137.514,"Whyalla Airport, Lincoln Highway, Whyalla Stuart, The Corporation of the City of Whyalla, South Australia, 5608, Australia","Whyalla Airport","South Australia"
-33.009222,137.057575,2024,2024-03-29 16:53:00,"Moloch horridus","956640-99999","WHYALLA",-33.059,137.514,"Whyalla Airport, Lincoln Highway, Whyalla Stuart, The Corporation of the City of Whyalla, South Australia, 5608, Australia","Whyalla Airport","South Australia"
-33.007943,137.046264,2024,2024-03-30 16:35:00,"Moloch horridus","956640-99999","WHYALLA",-33.059,137.514,"Whyalla Airport, Lincoln Highway, Whyalla Stuart, The Corporation of the City of Whyalla, South Australia, 5608, Australia","Whyalla Airport","South Australia"
-32.530069,117.309106,2024,2024-04-20 12:14:00,"Moloch horridus","956160-99999","PINGELLY",-32.533,117.083,"Queen Street, Pingelly, Shire Of Pingelly, Western Australia, Australia","Queen Street","Western Australia"
-32.526558,121.608148,2024,2024-02-27 14:42:11,"Moloch horridus","956420-99999","NORSEMAN AERO",-32.217,121.75,"Norseman, Shire Of Dundas, Western Australia, 6443, Australia","Norseman","Western Australia"
-32.222895,119.734309,2024,2024-11-02 16:04:00,"Moloch horridus","956270-99999","HYDEN COMPOSITE",-32.45,118.9,"East Hyden Bin Road, Hyden, Shire Of Kondinin, Western Australia, Australia","East Hyden Bin Road","Western Australia"
-32.208817,119.071311,2024,2024-08-17 12:33:47,"Moloch horridus","956270-99999","HYDEN COMPOSITE",-32.45,118.9,"East Hyden Bin Road, Hyden, Shire Of Kondinin, Western Australia, Australia","East Hyden Bin Road","Western Australia"
-32.101633,119.838789,2024,2024-09-26 14:51:06,"Moloch horridus","956270-99999","HYDEN COMPOSITE",-32.45,118.9,"East Hyden Bin Road, Hyden, Shire Of Kondinin, Western Australia, Australia","East Hyden Bin Road","Western Australia"
-32.020958,119.737258,2024,2024-11-06 09:48:00,"Moloch horridus","956270-99999","HYDEN COMPOSITE",-32.45,118.9,"East Hyden Bin Road, Hyden, Shire Of Kondinin, Western Australia, Australia","East Hyden Bin Road","Western Australia"
-31.932712,119.214822,2024,2024-09-19 12:47:10,"Moloch horridus","956270-99999","HYDEN COMPOSITE",-32.45,118.9,"East Hyden Bin Road, Hyden, Shire Of Kondinin, Western Australia, Australia","East Hyden Bin Road","Western Australia"
-31.834253,123.196555,2024,2024-10-17 15:41:01,"Moloch horridus","946420-99999","BALLADONIA",-32.45,123.867,"Balladonia, Shire Of Dundas, Western Australia, 6443, Australia","Balladonia","Western Australia"
-30.564612,120.192651,2024,2024-11-23 16:12:00,"Moloch horridus","956340-99999","SOUTHERN CROSS AIRFIELD",-31.233,119.35,"Rodgers Road, Southern Cross, Shire Of Yilgarn, Western Australia, Australia","Rodgers Road","Western Australia"
-30.104511,115.521251,2024,2024-04-05 12:52:38,"Moloch horridus","946030-99999","BADGINGARRA RESEARCH STN",-30.333,115.533,"Badgingarra, Shire Of Dandaragan, Western Australia, 6521, Australia","Badgingarra","Western Australia"
-30.072772,115.624435,2024,2024-10-17 16:00:00,"Moloch horridus","946030-99999","BADGINGARRA RESEARCH STN",-30.333,115.533,"Badgingarra, Shire Of Dandaragan, Western Australia, 6521, Australia","Badgingarra","Western Australia"
-30.053942,122.316069,2024,2024-11-07 09:54:18,"Moloch horridus","946370-99999","KALGOORLIE BOULDER",-30.789,121.462,"Hart Kerspien Drive, Broadwood, Kalgoorlie, City Of Kalgoorlie-Boulder, Western Australia, 6432, Australia","Hart Kerspien Drive","Western Australia"
-30.006171,115.941314,2024,2024-04-05 16:43:22,"Moloch horridus","944150-99999","CARNAMAH POST OFFICE",-29.683,115.883,"Midlands Road, Carnamah, Shire Of Carnamah, Western Australia, 6517, Australia","Midlands Road","Western Australia"
-29.952472,116.075325,2024,2024-11-30 07:52:43,"Moloch horridus","944150-99999","CARNAMAH POST OFFICE",-29.683,115.883,"Midlands Road, Carnamah, Shire Of Carnamah, Western Australia, 6517, Australia","Midlands Road","Western Australia"
-29.805657,115.264372,2024,2024-01-26 14:30:00,"Moloch horridus","956000-99999","JURIEN BAY",-30.3,115.033,"Turquose Way Trail, Jurien Bay, Shire Of Dandaragan, Western Australia, 6516, Australia","Turquose Way Trail","Western Australia"
-29.719359,115.24597,2024,2024-04-01 15:53:53,"Moloch horridus","944150-99999","CARNAMAH POST OFFICE",-29.683,115.883,"Midlands Road, Carnamah, Shire Of Carnamah, Western Australia, 6517, Australia","Midlands Road","Western Australia"
-29.694652,115.237236,2024,2024-04-01 15:13:18,"Moloch horridus","944150-99999","CARNAMAH POST OFFICE",-29.683,115.883,"Midlands Road, Carnamah, Shire Of Carnamah, Western Australia, 6517, Australia","Midlands Road","Western Australia"
-29.693685,115.239011,2024,2024-04-01 12:30:52,"Moloch horridus","944150-99999","CARNAMAH POST OFFICE",-29.683,115.883,"Midlands Road, Carnamah, Shire Of Carnamah, Western Australia, 6517, Australia","Midlands Road","Western Australia"
-29.68154,115.234982,2024,2024-04-01 11:47:13,"Moloch horridus","944150-99999","CARNAMAH POST OFFICE",-29.683,115.883,"Midlands Road, Carnamah, Shire Of Carnamah, Western Australia, 6517, Australia","Midlands Road","Western Australia"
