"stnid","stname","lat","lon","address","city","state"
"941000-99999","KALUMBURU",-14.3,126.633,"Drysdale River, Shire Of Wyndham-East Kimberley, Western Australia, 6740, Australia","Drysdale River","Western Australia"
"941020-99999","TROUGHTON ISLAND",-13.75,126.15,"Troughton Island Airport, Shire Of Wyndham-East Kimberley, Western Australia, Australia","Troughton Island Airport","Western Australia"
"941030-99999","BROWSE ISLAND AWS",-14.117,123.533,"Shire Of Wyndham-East Kimberley, Western Australia, Australia","Shire Of Wyndham-East Kimberley","Western Australia"
"941050-99999","NOONAMAH AIRSTRIP",-12.617,131.05,"Jenkins Road, Weddell, Bees Creek, Litchfield Municipality, Northern Territory, 0822, Australia","Jenkins Road","Northern Territory"
"941060-99999","NGUKURR AIRPORT",-14.717,134.75,"Ngukurr, Roper Gulf Region, Northern Territory, 0852, Australia","Ngukurr","Northern Territory"
"941080-99999","CROKER ISLAND AIRPORT",-11.167,132.483,"Airport Road, West Arnhem, West Arnhem Region, Northern Territory, Australia","Airport Road","Northern Territory"
"941090-99999","MURGANELLA AIRSTRIP",-11.55,132.927,"Murgenella Rd, Mangardubu, West Arnhem, West Arnhem Region, Northern Territory, Australia","Murgenella Rd","Northern Territory"
"941100-99999","OENPELLI AIRPORT",-12.333,133.007,"Mt Borradaile Access Road, Gunbalanya, West Arnhem Region, Northern Territory, Australia","Mt Borradaile Access Road","Northern Territory"
"941160-99999","DUM IN MIRRIE",-12.633,130.367,"Beagle Gulf, Northern Territory, 0822, Australia","Beagle Gulf","Northern Territory"
"941190-99999","PIRLANGIMPI",-11.4,130.417,"Pirlangimpi Golf Course, Golf Course Road, Pirlangimpi, Tiwi Islands Region, Northern Territory, Australia","Pirlangimpi Golf Course","Northern Territory"
"941200-99999","DARWIN INTL",-12.415,130.877,"Henry Wrigley Drive, Eaton, Darwin, City of Darwin, Northern Territory, 0821, Australia","Henry Wrigley Drive","Northern Territory"
"941210-99999","CHANNEL POINT",-13.167,130.117,"Marindja Road, Woolaning, Rakula, Channel Point Community, Northern Territory, Australia","Marindja Road","Northern Territory"
"941220-99999","CAPE FOURCROY",-11.783,130.017,"Tiwi Islands, Tiwi Islands Region, Northern Territory, Australia","Tiwi Islands","Northern Territory"
"941250-99999","BATCHELOR AERO",-13.05,131.017,"Meneling Road, Batchelor, Coomalie Shire, Northern Territory, 0845, Australia","Meneling Road","Northern Territory"
"941270-99999","POINT STUART",-12.233,131.883,"Point Stuart, Northern Territory, 0822, Australia","Point Stuart","Northern Territory"
"941280-99999","DOUGLAS RIVER",-13.833,131.183,"Douglas Daly Experimental Station, Douglas-daly, Northern Territory, Australia","Douglas Daly Experimental Station","Northern Territory"
"941300-99999","BRADSHAW",-14.95,130.8,"Bradshaw, Victoria Daly Region, Northern Territory, 0852, Australia","Bradshaw","Northern Territory"
"941310-99999","TINDAL",-14.521,132.378,"RAAF Base Tindal, Old Northern Australia Railway Alignment, Tindal, Town of Katherine, Northern Territory, Australia","RAAF Base Tindal","Northern Territory"
"941340-99999","BLACK POINT (PORT ESSINGTON)",-11.15,132.133,"Cobourg, Northern Territory, 0822, Australia","Cobourg","Northern Territory"
"941350-99999","MCCLUER ISLAND AWS",-11.05,132.983,"West Arnhem, West Arnhem Region, Northern Territory, 0852, Australia","West Arnhem","Northern Territory"
"941370-99999","JABIRU AIRPORT",-12.667,132.9,"Kakadu, West Arnhem Region, Northern Territory, Australia","Kakadu","Northern Territory"
