"lat","lon","year","eventDate","scientificName"
-23.1,113.8,2024,2024-06-08 12:50:00,"Rhincodon typus"
-22.7,113.6,2024,2024-04-01 10:19:29,"Rhincodon typus"
-22.7,113.7,2024,2024-05-30 12:37:46,"Rhincodon typus"
-22.296849,113.604233,2024,2024-06-25 13:01:20,"Rhincodon typus"
-22.243499,113.686491,2024,2024-03-27 11:17:00,"Rhincodon typus"
-22.234982,113.607436,2024,2024-03-27 10:54:00,"Rhincodon typus"
-22.169629,113.747176,2024,2024-05-05 11:34:00,"Rhincodon typus"
-22.150506,113.735097,2024,2024-06-13 13:27:00,"Rhincodon typus"
-22.1,113.8,2024,2024-07-14 12:05:00,"Rhincodon typus"
-22.1,113.8,2024,2024-10-10 10:46:28,"Rhincodon typus"
-22.035814,113.427668,2024,2024-06-13 12:56:00,"Rhincodon typus"
-22,113.9,2024,2024-06-13 16:30:00,"Rhincodon typus"
-22,113.9,2024,2024-07-09 12:54:46,"Rhincodon typus"
-22,113.8,2024,2024-06-13 16:30:00,"Rhincodon typus"
-22,113.9,2024,2024-07-14 13:51:33,"Rhincodon typus"
-22,114,2024,2024-04-05 16:44:38,"Rhincodon typus"
-22,113.8,2024,2024-06-13 16:30:00,"Rhincodon typus"
-21.9,113.9,2024,2024-05-10 09:59:00,"Rhincodon typus"
-21.9,113.8,2024,2024-06-13 16:30:00,"Rhincodon typus"
-21.9,114.1,2024,2024-09-23 12:53:38,"Rhincodon typus"
-21.9,114,2024,2024-10-20 10:52:06,"Rhincodon typus"
-21.876859,113.615306,2024,2024-06-12 20:02:00,"Rhincodon typus"
-21.871596,113.785201,2024,2024-06-13 12:38:00,"Rhincodon typus"
-21.828265,113.877247,2024,2024-07-28 14:00:00,"Rhincodon typus"
-21.8,113.8,2024,2024-06-20 15:27:00,"Rhincodon typus"
-21.8,114,2024,2024-06-13 16:30:00,"Rhincodon typus"
-21.7,114.4,2024,2024-08-24 13:00:01,"Rhincodon typus"
-15.500133,145.637112,2024,2024-01-17 12:11:00,"Rhincodon typus"
-11.758253,143.944732,2024,2024-10-25 12:10:13,"Rhincodon typus"
