"STNID","NAME","CTRY","COUNTRY_NAME","ISO2C","ISO3C","STATE","LATITUDE","LONGITUDE","ELEVATION","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"955650-99999","HERVEY BAY AIRPORT","AS","AUSTRALIA","AU","AUS","",-25.317,152.883,15,20010915,20240909,2024-01-01,2024,1,1,1,23,24,21.2,24,1014.8,24,1013.3,24,NA,0,3.8,24,6.2,NA,28.4,"*",21.5,"*",14.22,"G",NA,0,1,0,0,1,0,2.5,2.8,89.6
"955650-99999","HERVEY BAY AIRPORT","AS","AUSTRALIA","AU","AUS","",-25.317,152.883,15,20010915,20240909,2024-01-02,2024,1,2,2,24.2,24,21.8,24,1012.6,24,1011.1,24,NA,0,3.5,24,6.7,NA,27,"*",21.4,NA,1.52,"G",NA,0,1,0,0,0,0,2.6,3,86.5
"955650-99999","HERVEY BAY AIRPORT","AS","AUSTRALIA","AU","AUS","",-25.317,152.883,15,20010915,20240909,2024-01-03,2024,1,3,3,25.4,24,21.6,24,1012.9,24,1011.4,24,NA,0,3.2,24,6.2,NA,28.7,"*",21.9,"*",0,"G",NA,0,0,0,0,0,0,2.6,3.2,79.5
"955650-99999","HERVEY BAY AIRPORT","AS","AUSTRALIA","AU","AUS","",-25.317,152.883,15,20010915,20240909,2024-01-04,2024,1,4,4,26.7,24,22.7,24,1012.6,24,1011.1,24,NA,0,3.4,24,5.1,NA,30.5,"*",21.8,NA,0.25,"G",NA,0,1,0,0,0,0,2.8,3.5,78.7
"955650-99999","HERVEY BAY AIRPORT","AS","AUSTRALIA","AU","AUS","",-25.317,152.883,15,20010915,20240909,2024-01-05,2024,1,5,5,26.8,24,22.2,24,1014.1,24,1012.6,24,NA,0,4.6,24,6.2,NA,30.7,"*",23.4,NA,0,"G",NA,0,0,0,0,0,0,2.7,3.5,75.9
"955650-99999","HERVEY BAY AIRPORT","AS","AUSTRALIA","AU","AUS","",-25.317,152.883,15,20010915,20240909,2024-01-06,2024,1,6,6,24.9,24,21.1,24,1015,24,1013.5,24,NA,0,4.2,24,6.2,NA,29.3,"*",21.4,"*",2.03,"G",NA,0,1,0,0,0,0,2.5,3.1,79.5
"955650-99999","HERVEY BAY AIRPORT","AS","AUSTRALIA","AU","AUS","",-25.317,152.883,15,20010915,20240909,2024-01-07,2024,1,7,7,25.3,24,22.7,24,1014.5,24,1013,24,NA,0,3.9,24,7.7,NA,28.8,"*",21.3,NA,8.13,"G",NA,0,1,0,0,0,0,2.8,3.2,85.5
"955650-99999","HERVEY BAY AIRPORT","AS","AUSTRALIA","AU","AUS","",-25.317,152.883,15,20010915,20240909,2024-01-08,2024,1,8,8,26.9,24,23.6,24,1012.9,24,1011.4,24,NA,0,2.9,24,4.6,NA,28.9,"*",23.2,NA,5.33,"G",NA,0,1,0,0,0,0,2.9,3.5,82.2
"955650-99999","HERVEY BAY AIRPORT","AS","AUSTRALIA","AU","AUS","",-25.317,152.883,15,20010915,20240909,2024-01-09,2024,1,9,9,27.1,24,23.4,24,1012,24,1010.5,24,NA,0,2.9,24,6.2,NA,30.2,NA,24.3,"*",0.25,"G",NA,0,1,0,0,0,0,2.9,3.6,80.2
"955650-99999","HERVEY BAY AIRPORT","AS","AUSTRALIA","AU","AUS","",-25.317,152.883,15,20010915,20240909,2024-01-10,2024,1,10,10,26.3,24,21.8,24,1012.6,24,1011.1,24,NA,0,3.5,24,5.7,NA,30.5,"*",21.8,"*",0.51,"G",NA,0,0,0,0,0,0,2.6,3.4,76.3
